0,dart,time,velocity
0,50,49,1660
0,50,365,1700
0,50,600,1720
0,50,770,1720
0,50,897,1714
0,50,1044,1739
0,50,1107,1745
0,50,1234,1769
0,50,1309,1774
0,50,1422,1787
0,50,1566,1864
0,50,1755,1980
0,50,1971,2154
0,50,2077,2214
0,50,2176,2265
0,50,2526,2440
0,50,2734,2495
0,50,2945,2561
0,50,3847,3000
0,51,49,1660
0,51,365,1700
0,51,600,1720
0,51,770,1720
0,51,897,1714
0,51,1044,1739
0,51,1107,1745
0,51,1234,1769
0,51,1309,1774
0,51,1422,1797
0,51,1566,1869
0,51,1755,1980
0,51,1971,2154
0,51,2077,2214
0,51,2176,2265
0,51,2526,2440
0,51,2734,2495
0,51,2945,2561
0,51,3847,3000
0,52,49,1660
0,52,365,1700
0,52,585,1705
0,52,770,1720
0,52,897,1714
0,52,1044,1739
0,52,1107,1745
0,52,1234,1769
0,52,1316,1774
0,52,1422,1797
0,52,1566,1869
0,52,1755,1980
0,52,1971,2154
0,52,2077,2214
0,52,2176,2265
0,52,2526,2440
0,52,2734,2530
0,52,2945,2621
0,52,3847,3000
0,53,49,1660
0,53,365,1700
0,53,585,1705
0,53,656,1704
0,53,770,1720
0,53,900,1729
0,53,1044,1739
0,53,1107,1745
0,53,1234,1769
0,53,1309,1774
0,53,1422,1797
0,53,1566,1869
0,53,1755,1980
0,53,1971,2154
0,53,2080,2244
0,53,2176,2295
0,53,2526,2440
0,53,2734,2560
0,53,2959,2666
0,53,3847,3000
0,54,49,1660
0,54,358,1680
0,54,508,1694
0,54,590,1700
0,54,770,1720
0,54,910,1730
0,54,1050,1740
0,54,1107,1745
0,54,1234,1769
0,54,1309,1774
0,54,1433,1784
0,54,1566,1869
0,54,1760,1990
0,54,1971,2154
0,54,2080,2244
0,54,2176,2300
0,54,2444,2460
0,54,2708,2599
0,54,2967,2725
0,54,3824,3139
0,55,49,1660
0,55,358,1685
0,55,573,1700
0,55,640,1700
0,55,770,1720
0,55,910,1730
0,55,1050,1740
0,55,1107,1745
0,55,1234,1769
0,55,1309,1774
0,55,1430,1790
0,55,1566,1869
0,55,1760,1990
0,55,1971,2154
0,55,2080,2244
0,55,2180,2285
0,55,2526,2469
0,55,2704,2565
0,55,2956,2685
0,55,3847,3000
0,56,49,1660
0,56,358,1685
0,56,508,1694
0,56,632,1700
0,56,770,1720
0,56,910,1730
0,56,1050,1740
0,56,1107,1745
0,56,1234,1769
0,56,1309,1774
0,56,1430,1790
0,56,1566,1869
0,56,1760,1990
0,56,1971,2154
0,56,2080,2244
0,56,2180,2315
0,56,2521,2490
0,56,2734,2605
0,56,2952,2725
0,56,3843,3080
0,57,49,1660
0,57,358,1685
0,57,569,1700
0,57,770,1720
0,57,910,1730
0,57,1050,1740
0,57,1107,1745
0,57,1208,1759
0,57,1309,1774
0,57,1430,1795
0,57,1566,1869
0,57,1760,1990
0,57,1971,2154
0,57,2083,2239
0,57,2180,2310
0,57,2521,2490
0,57,2734,2605
0,57,2952,2725
0,57,3843,3080
0,58,49,1660
0,58,377,1685
0,58,580,1710
0,58,706,1710
0,58,764,1714
0,58,900,1710
0,58,1031,1749
0,58,1100,1760
0,58,1208,1759
0,58,1309,1774
0,58,1430,1790
0,58,1570,1890
0,58,1760,2000
0,58,1971,2154
0,58,2083,2239
0,58,2180,2290
0,58,2522,2460
0,58,2730,2594
0,58,2944,2700
0,58,3843,3080
0,59,49,1660
0,59,370,1700
0,59,580,1720
0,59,710,1710
0,59,764,1714
0,59,903,1725
0,59,1031,1749
0,59,1100,1750
0,59,1208,1759
0,59,1309,1774
0,59,1430,1790
0,59,1570,1890
0,59,1760,2000
0,59,2083,2239
0,59,2180,2290
0,59,2518,2475
0,59,2837,2624
0,59,2944,2700
0,59,3843,3080
0,60,49,1660
0,60,362,1705
0,60,583,1725
0,60,706,1725
0,60,760,1724
0,60,888,1730
0,60,1031,1749
0,60,1100,1750
0,60,1208,1759
0,60,1309,1774
0,60,1430,1790
0,60,1570,1890
0,60,1760,2000
0,60,2083,2239
0,60,2180,2290
0,60,2518,2445
0,60,2822,2599
0,60,2958,2654
0,60,3843,3080
0,61,49,1660
0,61,362,1695
0,61,570,1700
0,61,646,1710
0,61,760,1710
0,61,907,1735
0,61,1040,1750
0,61,1100,1750
0,61,1208,1759
0,61,1309,1774
0,61,1430,1790
0,61,1570,1890
0,61,1760,2000
0,61,2083,2239
0,61,2190,2300
0,61,2460,2440
0,61,2730,2579
0,61,2936,2680
0,61,3843,3080
0,62,49,1660
0,62,370,1685
0,62,558,1710
0,62,657,1710
0,62,770,1710
0,62,900,1710
0,62,1040,1740
0,62,1100,1750
0,62,1208,1759
0,62,1309,1774
0,62,1430,1790
0,62,1570,1890
0,62,1760,2000
0,62,2083,2239
0,62,2190,2310
0,62,2452,2430
0,62,2730,2579
0,62,2936,2680
0,62,3843,3080
0,63,49,1660
0,63,370,1685
0,63,570,1710
0,63,653,1715
0,63,767,1710
0,63,900,1725
0,63,1040,1750
0,63,1100,1750
0,63,1210,1770
0,63,1309,1774
0,63,1430,1790
0,63,1570,1890
0,63,1760,2000
0,63,2083,2239
0,63,2190,2310
0,63,2441,2445
0,63,2618,2539
0,63,2854,2665
0,63,3876,3095
0,64,49,1660
0,64,370,1685
0,64,570,1710
0,64,653,1710
0,64,756,1720
0,64,900,1725
0,64,1040,1740
0,64,1100,1750
0,64,1210,1770
0,64,1309,1784
0,64,1420,1815
0,64,1558,1894
0,64,1760,2015
0,64,2083,2239
0,64,2193,2320
0,64,2451,2435
0,64,2620,2520
0,64,2854,2665
0,64,2950,2720
0,64,3876,3095
0,65,49,1660
0,65,362,1675
0,65,570,1710
0,65,640,1710
0,65,767,1720
0,65,896,1740
0,65,1082,1760
0,65,1210,1770
0,65,1298,1779
0,65,1416,1809
0,65,1570,1890
0,65,1760,2010
0,65,2083,2239
0,65,2180,2300
0,65,2428,2420
0,65,2608,2524
0,65,2854,2665
0,65,2950,2720
0,65,3798,3095
0,66,49,1660
0,66,366,1700
0,66,566,1710
0,66,651,1715
0,66,762,1715
0,66,896,1725
0,66,1090,1750
0,66,1210,1770
0,66,1305,1774
0,66,1420,1790
0,66,1560,1880
0,66,1760,2010
0,66,2083,2239
0,66,2180,2300
0,66,2428,2425
0,66,2608,2524
0,66,2854,2665
0,66,2950,2720
0,66,3798,3095
0,67,49,1660
0,67,370,1690
0,67,560,1700
0,67,651,1715
0,67,760,1710
0,67,900,1720
0,67,1090,1750
0,67,1210,1770
0,67,1305,1774
0,67,1420,1790
0,67,1570,1890
0,67,1760,2010
0,67,2086,2259
0,67,2187,2310
0,67,2517,2470
0,67,2854,2665
0,67,2950,2720
0,67,3798,3095
0,68,49,1660
0,68,358,1690
0,68,560,1710
0,68,651,1715
0,68,770,1720
0,68,900,1720
0,68,1090,1750
0,68,1210,1770
0,68,1298,1779
0,68,1420,1790
0,68,1570,1890
0,68,1760,2010
0,68,2086,2259
0,68,2183,2300
0,68,2513,2440
0,68,2619,2509
0,68,2854,2665
0,68,2950,2720
0,68,3798,3095
0,69,49,1660
0,69,366,1690
0,69,560,1700
0,69,651,1715
0,69,760,1710
0,69,900,1720
0,69,1077,1755
0,69,1210,1770
0,69,1302,1774
0,69,1420,1790
0,69,1570,1890
0,69,1760,2010
0,69,2086,2259
0,69,2180,2300
0,69,2510,2400
0,69,2615,2489
0,69,2854,2665
0,69,2950,2720
0,69,3798,3095
0,70,49,1660
0,70,370,1705
0,70,560,1700
0,70,650,1710
0,70,760,1710
0,70,900,1710
0,70,1040,1740
0,70,1210,1770
0,70,1309,1779
0,70,1420,1790
0,70,1570,1890
0,70,1760,2010
0,70,2086,2259
0,70,2180,2300
0,70,2513,2420
0,70,2615,2484
0,70,2854,2665
0,70,2950,2720
