line,trace,time,velocity,delta time,delta velocity
220,800,1040,3277,-639,-987
220,800,2458,4044,-1836,-1374
220,800,2711,4119,-1671,-834
220,800,3011,4189,-1623,-559
220,800,3343,4273,-1447,-383
220,800,3716,4374,-1260,-294
220,800,4132,4504,-923,-115
220,800,4628,4648,-1010,-128
220,800,5229,4823,-761,-53
220,800,5924,5021,-64,149
220,800,6648,5211,317,299
220,800,7395,5412,565,308
220,850,561,2423,13,7
220,850,802,2753,-15,47
220,850,1107,3225,19,35
220,850,1414,3727,8,-107
220,850,1614,3839,134,1
220,850,1964,3909,387,311
220,850,2589,4307,24,33
220,850,2871,4438,-8,-18
220,850,3183,4486,60,43
220,850,3524,4552,39,48
220,850,3907,4639,64,1
220,850,4338,4749,234,21
220,850,4840,4888,862,232
220,850,5452,5045,1436,455
220,850,6171,5251,1776,469
220,850,6937,5456,1010,-1217
220,850,7726,5647,221,-2006
220,950,425,2465,95,135
220,950,945,3271,-143,-141
220,950,1039,3388,-104,-88
220,950,1250,3650,-214,-230
220,950,1450,3954,-190,-274
220,950,1605,4049,-176,-149
220,950,2269,4214,-666,-214
220,950,2471,4283,-195,-33
220,950,3502,4478,-1042,-218
220,950,3885,4570,-385,-50
220,950,4316,4687,-126,63
220,950,4824,4830,-352,10
220,950,5442,4998,-370,-58
220,950,6161,5201,-101,59
220,950,6917,5399,-63,51
220,950,7696,5599,-367,41
220,1050,820,3246,-400,-596
220,1050,932,3510,-281,-380
220,1050,1124,3703,-272,-284
220,1050,1345,3926,-385,-356
220,1050,1502,4088,-377,-368
220,1050,2165,4207,-821,-347
220,1050,2502,4310,-857,-320
220,1050,3608,4482,-1437,-272
220,1050,4007,4580,-1347,-100
220,1050,4457,4713,-1203,-153
220,1050,5000,4858,-1396,-238
220,1050,5653,5050,-1193,-110
220,1050,6392,5263,-1141,-23
220,1050,7154,5447,-1255,-37
220,1050,7951,5660,-1558,-160
220,1150,439,2775,46,25
220,1150,788,3335,-153,-326
220,1150,1001,3732,-201,-452
220,1150,2031,4436,-1011,-706
220,1150,2386,4517,-1175,-537
220,1150,2627,4600,-1147,-380
220,1150,2872,4667,-832,-267
220,1150,3134,4722,-914,-282
220,1150,3474,4755,-1085,-245
220,1150,3842,4817,-1191,-227
220,1150,4255,4901,-1047,-121
220,1150,4719,5014,-1212,-154
220,1150,5269,5157,-1329,-97
220,1150,5938,5331,-778,-21
220,1150,6718,5539,-789,-69
220,1150,7529,5741,-949,-111
220,1200,422,2454,-10,26
220,1200,1091,3942,-540,-1062
220,1200,2134,4486,-1262,-866
220,1200,2372,4492,-1272,-572
220,1200,2659,4564,-1343,-444
220,1200,2905,4622,-1285,-282
220,1200,3181,4677,-1046,-187
220,1200,3526,4722,-1172,-212
220,1200,3901,4791,-1401,-271
220,1200,4324,4881,-1661,-281
220,1200,4800,5011,-1956,-371
220,1200,5372,5156,-2192,-356
220,1200,6064,5349,-2433,-429
220,1200,6855,5568,-2537,-428
220,1200,7669,5760,-2550,-370
220,1250,1340,3609,-903,-979
220,1250,2078,4489,-1478,-1479
220,1250,2164,4491,-1376,-1081
220,1250,2292,4564,-1186,-714
220,1250,2451,4497,-1046,-377
220,1250,2617,4484,-888,-134
220,1250,2713,4504,-627,-24
220,1250,3031,4628,-571,-168
220,1250,3328,4732,-708,-252
220,1250,3512,4824,-789,-304
220,1250,3734,4791,-694,-151
220,1250,4133,4869,-793,-109
220,1250,4584,4972,-1080,-172
220,1250,5107,5110,-1407,-250
220,1250,5747,5264,-1864,-304
220,1250,6500,5475,-2280,-395
220,1250,7304,5686,-2616,-506
220,1300,1908,4488,-1300,-1478
220,1300,3301,4491,-2421,-1011
220,1300,3657,4566,-2517,-766
220,1300,4057,4661,-2645,-541
220,1300,4507,4791,-2886,-591
220,1300,5045,4935,-3111,-535
220,1300,5697,5120,-3577,-640
220,1300,6447,5328,-4003,-778
220,1300,7221,5519,-4525,-1059
220,1350,664,2959,-204,-259
220,1350,999,3468,-296,-378
220,1350,1546,3923,-547,-473
220,1350,2656,4240,-1119,-210
220,1350,2997,4286,-883,4
220,1350,3129,4312,-457,-52
220,1350,3665,4437,-535,-87
220,1350,4073,4546,-333,-6
220,1350,4546,4685,-442,-15
220,1350,5122,4834,-348,96
220,1350,5800,5037,-332,13
220,1350,6531,5241,-249,79
220,1350,7285,5425,-106,95
220,1400,620,3066,22,-116
220,1400,835,3349,117,-39
220,1400,1069,3611,113,39
220,1400,1297,3843,285,187
220,1400,1544,4039,631,191
220,1400,1768,4200,880,60
220,1400,1987,4332,1153,108
220,1400,2206,4427,1145,33
220,1400,2453,4516,1174,84
220,1400,2688,4603,1636,237
220,1400,2937,4661,2147,409
220,1400,3215,4714,2245,366
220,1400,3562,4757,2596,573
220,1400,3941,4826,3213,754
220,1400,4368,4915,3573,795
220,1400,4848,5046,3093,862
220,1400,5427,5191,2514,283
220,1400,6126,5385,1815,-416
220,1400,6924,5607,1017,-1214
220,1400,7744,5798,197,-2034
220,1500,2439,4478,-1836,-1658
220,1500,2620,4563,-1763,-1423
220,1500,3029,4350,-1949,-910
220,1500,3245,4241,-1557,-211
220,1500,3605,4338,-1205,122
220,1500,4009,4455,-1378,95
220,1500,4483,4596,-1303,4
220,1500,5059,4756,-1453,74
220,1500,5731,4955,-1626,-5
220,1500,6446,5152,-1943,-92
220,1500,7184,5338,-1992,-128
220,1500,7961,5557,-1845,-147
220,1550,1847,4729,-1329,-2019
220,1550,2114,4870,-1332,-1880
220,1550,2360,4981,-1371,-1711
220,1550,2601,5052,-1114,-1202
220,1550,2868,5113,-1039,-1013
220,1550,3131,5183,-857,-793
220,1550,3407,5220,-410,-600
220,1550,3719,5251,-619,-631
220,1550,4108,5279,-868,-599
220,1550,4535,5335,-824,-515
220,1550,5019,5417,-965,-507
220,1550,5570,5549,-522,-369
220,1550,6243,5696,-561,-366
220,1550,7050,5915,-599,-335
220,1550,7933,6146,-687,-396
220,1600,1466,3866,-892,-1066
220,1600,1681,4031,-925,-1101
220,1600,1893,4168,-672,-648
220,1600,2107,4268,-622,-418
220,1600,2346,4361,-347,-101
220,1600,2574,4453,-214,27
220,1600,2815,4516,706,384
220,1600,3085,4575,1107,535
220,1600,3421,4623,1955,857
220,1600,3788,4694,2571,976
220,1600,4200,4785,2903,1065
