line,trace,time,velocity
2240,1680,536,1796
2240,1680,633,1845
2240,1680,849,1959
2240,1680,1047,2082
2240,1680,1305,2197
2240,1680,1482,2270
2240,1680,1641,2341
2240,1680,1929,2469
2240,1680,2087,2540
2240,1680,2276,2626
2240,1680,2391,2668
2240,1680,2588,2707
2240,1680,2829,2801
2240,1680,3045,2861
2240,1680,3259,2944
2240,1680,3492,3062
2240,1680,3762,3216
2240,1680,4105,3381
2240,1680,4282,3560
2240,1680,4532,3786
2240,1680,4924,3987
2240,1680,5187,4130
2240,1680,5620,4345
2240,1680,6228,4537
2240,1680,6924,4606
2240,1680,7258,3757
2240,1680,6917,3431
2240,1720,452,1815
2240,1720,613,1871
2240,1720,842,1971
2240,1720,1017,2045
2240,1720,1161,2123
2240,1720,1314,2190
2240,1720,1512,2268
2240,1720,1744,2371
2240,1720,1931,2474
2240,1720,2197,2599
2240,1720,2407,2668
2240,1720,2671,2759
2240,1720,2869,2803
2240,1720,3097,2898
2240,1720,3326,2929
2240,1720,3504,3040
2240,1720,3781,3227
2240,1720,4150,3486
2240,1720,4612,3712
2240,1720,4917,3919
2240,1720,5184,4075
2240,1720,5429,4244
2240,1720,6022,4466
2240,1720,6649,4435
2240,1720,6886,4126
2240,1720,6917,3432
2240,1840,452,1815
2240,1840,589,1853
2240,1840,841,1963
2240,1840,1039,2060
2240,1840,1259,2168
2240,1840,1424,2241
2240,1840,1658,2327
2240,1840,1837,2422
2240,1840,2051,2529
2240,1840,2224,2612
2240,1840,2387,2685
2240,1840,2591,2732
2240,1840,2819,2819
2240,1840,3011,2897
2240,1840,3244,2981
2240,1840,3513,3070
2240,1840,3788,3223
2240,1840,4046,3382
2240,1840,4258,3528
2240,1840,4519,3761
2240,1840,4886,4022
2240,1840,5249,4235
2240,1840,5566,4312
2240,1840,5834,4313
2240,1840,6203,4341
2240,1840,5888,3959
2240,1840,6285,3929
2240,1840,6539,3807
2240,1840,6709,2859
2240,1960,504,1812
2240,1960,614,1865
2240,1960,1023,2026
2240,1960,1231,2137
2240,1960,1358,2185
2240,1960,1489,2234
2240,1960,1603,2302
2240,1960,1806,2418
2240,1960,2051,2552
2240,1960,2286,2641
2240,1960,2493,2687
2240,1960,2755,2755
2240,1960,2973,2818
2240,1960,3150,2943
2240,1960,3415,2976
2240,1960,3586,3120
2240,1960,3916,3336
2240,1960,4287,3591
2240,1960,4765,3818
2240,1960,5002,4007
2240,1960,5294,4219
2240,1960,5831,4432
2240,1960,5282,3863
2240,1960,5950,4178
2240,1960,6292,4274
2240,1960,6451,4185
2240,1960,6557,3942
2240,1960,6439,3697
2240,1960,6694,3052
2280,1520,524,1809
2280,1520,610,1869
2280,1520,706,1897
2280,1520,831,1950
2280,1520,972,2034
2280,1520,1258,2163
2280,1520,1517,2269
2280,1520,1687,2348
2280,1520,1900,2468
2280,1520,2116,2568
2280,1520,2398,2668
2280,1520,2634,2742
2280,1520,2842,2822
2280,1520,3007,2877
2280,1520,3177,2937
2280,1520,3484,3027
2280,1520,3709,3146
2280,1520,3991,3313
2280,1520,4306,3546
2280,1520,4026,3330
2280,1520,4303,3597
2280,1520,4693,3865
2280,1520,5246,3936
2280,1520,5502,3777
2280,1520,5763,3937
2280,1520,6019,3914
2280,1520,6297,2912
2280,1560,491,1825
2280,1560,635,1881
2280,1560,881,1978
2280,1560,1024,2044
2280,1560,1327,2176
2280,1560,1639,2308
2280,1560,1723,2356
2280,1560,1941,2471
2280,1560,2118,2576
2280,1560,2280,2645
2280,1560,2457,2706
2280,1560,2729,2697
2280,1560,2802,2743
2280,1560,2955,2829
2280,1560,3122,2892
2280,1560,3269,2963
2280,1560,3451,3031
2280,1560,3530,2970
2280,1560,5705,3943
2280,1560,6170,3957
2280,1560,6400,3893
2280,1560,6583,3045
2280,1880,502,1807
2280,1880,770,1942
2280,1880,1025,2040
2280,1880,1213,2129
2280,1880,1459,2239
2280,1880,1609,2305
2280,1880,1749,2365
2280,1880,1863,2444
2280,1880,2003,2528
2280,1880,2228,2633
2280,1880,2406,2661
2280,1880,2669,2765
2280,1880,2913,2803
2280,1880,3070,2844
2280,1880,3244,2919
2280,1880,3418,3008
2280,1880,3605,3171
2280,1880,3899,3351
2280,1880,4274,3614
2280,1880,4678,3810
2280,1880,4902,3893
2280,1880,5026,4064
2280,1880,5872,3971
2280,1880,6233,3958
2280,1880,6550,3836
2280,1880,6723,2855
2280,1920,505,1813
2280,1920,623,1866
2280,1920,845,1954
2280,1920,933,1997
2280,1920,1072,2061
2280,1920,1259,2149
2280,1920,1449,2251
2280,1920,1710,2374
2280,1920,2042,2531
2280,1920,2239,2608
2280,1920,2521,2719
2280,1920,2723,2796
2280,1920,2850,2850
2280,1920,3100,2878
2280,1920,3238,2947
2280,1920,3485,3092
2280,1920,3788,3271
2280,1920,4255,3490
2280,1920,4650,3689
2280,1920,4794,3877
2280,1920,5007,4054
2280,1920,5510,4223
2280,1920,5303,3867
2280,1920,5964,4169
2280,1920,6277,4290
2280,1920,6459,4188
2280,1920,6526,3959
2280,1920,6471,3701
2280,1920,6710,3043
2280,2080,524,1808
2280,2080,699,1890
2280,2080,854,1959
2280,2080,1030,2047
2280,2080,1195,2128
2280,2080,1344,2201
2280,2080,1485,2268
2280,2080,1746,2395
2280,2080,2012,2528
2280,2080,2276,2642
2280,2080,2472,2711
2280,2080,2675,2764
2280,2080,2881,2833
2280,2080,3059,2941
2280,2080,3333,2977
2280,2080,3518,3074
2280,2080,3768,3254
2280,2080,4163,3441
2280,2080,4506,3684
2280,2080,4232,3492
2280,2080,4667,3883
2280,2080,5081,4145
2280,2080,5396,4168
2280,2080,6025,4092
2280,2080,6425,4162
2280,2080,6934,4042
2280,2080,6767,2577
2280,2240,478,1793
2280,2240,619,1877
2280,2240,867,1975
2280,2240,1006,2039
2280,2240,1288,2174
2280,2240,1398,2225
2280,2240,1561,2292
2280,2240,1784,2414
2280,2240,2008,2537
2280,2240,2283,2653
2280,2240,2534,2737
2280,2240,2720,2774
2280,2240,2923,2894
2280,2240,3119,2915
2280,2240,3298,2996
2280,2240,3563,3159
2280,2240,3914,3358
2280,2240,4289,3561
2280,2240,4065,3380
2280,2240,4242,3550
2280,2240,4718,3916
2280,2240,5125,4020
2280,2240,5426,3985
2280,2240,5884,4080
2280,2240,6281,4224
2280,2240,6425,3196
2320,1440,1541,2273
2320,1440,1609,2343
2320,1440,1718,2344
2320,1440,1869,2401
2320,1440,1943,2420
2320,1440,1877,2415
2320,1440,1869,2501
2320,1440,2040,2517
2320,1440,2173,2570
2320,1440,2387,2650
2320,1440,2601,2716
2320,1440,2850,2751
2320,1440,2912,2808
2320,1440,3102,2901
2320,1440,3394,2982
2320,1440,3634,3132
2320,1440,3936,3361
2320,1440,4294,3726
2320,1440,5988,3915
2320,1440,6209,3710
2320,1440,6640,3056
2320,1520,493,1804
2320,1520,859,1993
2320,1520,1070,2066
2320,1520,1248,2150
2320,1520,1481,2247
2320,1520,1653,2312
2320,1520,1767,2368
2320,1520,1854,2436
2320,1520,2076,2555
2320,1520,2306,2658
2320,1520,2532,2692
2320,1520,2783,2753
2320,1520,3007,2863
2320,1520,3281,2905
2320,1520,3461,2979
2320,1520,3667,3127
2320,1520,3981,3350
2320,1520,4376,3567
2320,1520,4669,3775
2320,1520,5073,4063
2320,1520,5721,4351
2320,1520,6307,4386
2320,1520,6773,4263
2320,1520,5956,3914
2320,1520,6232,3737
2320,1520,6609,3111
2320,1920,489,1800
2320,1920,804,1970
2320,1920,1067,2069
2320,1920,1338,2188
2320,1920,1594,2294
2320,1920,1682,2334
2320,1920,1841,2393
2320,1920,1866,2443
2320,1920,1984,2551
2320,1920,2046,2599
2320,1920,2242,2579
2320,1920,2319,2602
2320,1920,2436,2654
2320,1920,2693,2733
2320,1920,2930,2805
2320,1920,3102,2896
2320,1920,3306,2996
2320,1920,3607,3109
