line,trace,time,velocity,delta time,delta velocity
2240,1440,1004,2021,-907,-412
2240,1440,1328,2200,-1088,-525
2240,1440,1515,2301,-1153,-562
2240,1440,1714,2371,-1212,-562
2240,1440,1849,2436,-1169,-536
2240,1440,1957,2524,-1117,-544
2240,1440,1995,2540,-988,-505
2240,1440,2138,2605,-798,-405
2240,1440,2437,2665,-917,-360
2240,1440,2599,2712,-892,-327
2240,1440,2756,2756,-907,-302
2240,1440,2851,2795,-861,-255
2240,1440,3067,2840,-927,-230
2240,1440,3138,2873,-698,-203
2240,1440,3294,2959,-694,-239
2240,1440,3457,3071,-697,-311
2240,1440,3856,3238,-1016,-453
2240,1440,4318,3507,-1242,-652
2240,1440,5088,4083,-1788,-1123
2240,1440,5457,4312,-1997,-1232
2240,1440,6961,4694,-2821,-1314
2240,1480,94,1600,3,9
2240,1480,295,1699,-55,-24
2240,1480,425,1771,-63,-32
2240,1480,689,1903,-187,-94
2240,1480,837,1979,-157,-79
2240,1480,1037,2052,-197,-72
2240,1480,1150,2099,-107,-40
2240,1480,1298,2169,62,11
2240,1480,1356,2186,114,49
2240,1480,1458,2226,219,114
2240,1480,1678,2324,262,156
2240,1480,1936,2478,184,102
2240,1480,2116,2568,336,91
2240,1480,2278,2641,322,59
2240,1480,2452,2655,297,85
2240,1480,2597,2698,543,177
2240,1480,2755,2739,545,241
2240,1480,2899,2789,583,286
2240,1480,3037,2816,743,424
2240,1480,3137,2862,1003,518
2240,1480,3298,2974,982,486
2240,1480,3777,3222,1023,698
2240,1480,4297,3455,780,645
2240,1480,5073,4076,216,134
2240,1480,5449,4256,11,64
2240,1480,6961,4693,-1039,-239
2240,1520,94,1600,1,4
2240,1520,287,1698,6,16
2240,1520,478,1797,2,3
2240,1520,658,1882,2,-2
2240,1520,737,1926,8,-6
2240,1520,896,1990,164,70
2240,1520,1056,2051,104,49
2240,1520,1157,2097,123,63
2240,1520,1282,2144,258,116
2240,1520,1495,2242,225,118
2240,1520,1536,2264,304,176
2240,1520,1718,2351,293,183
2240,1520,1836,2431,304,184
2240,1520,1938,2478,329,166
2240,1520,2128,2609,352,71
2240,1520,2354,2654,266,46
2240,1520,2460,2666,280,74
2240,1520,2616,2699,428,121
2240,1520,2766,2734,464,186
2240,1520,2839,2767,621,293
2240,1520,2919,2807,859,397
2240,1520,3055,2818,1025,542
2240,1520,3218,2929,1064,546
2240,1520,3477,3073,1160,706
2240,1520,3775,3199,1285,901
2240,1520,4294,3454,1146,826
2240,1520,4630,3753,1263,691
2240,1520,5074,4087,1207,467
2240,1520,5437,4257,1423,423
2240,1520,5792,4378,1179,321
2240,1520,6961,4693,10,-2262
2240,1560,94,1600,6,14
2240,1560,296,1696,-11,8
2240,1560,498,1796,2,4
2240,1560,696,1883,-16,37
2240,1560,917,1991,5,8
2240,1560,1056,2056,4,4
2240,1560,1174,2114,7,1
2240,1560,1372,2199,8,11
2240,1560,1536,2266,4,14
2240,1560,1693,2341,7,14
