Line-Trace,Pred-TVs,Lable-TVs,Dffirence
220_850,5,18,-13
220_900,2,15,-13
220_950,4,20,-16
220_1000,5,19,-14
220_1050,4,18,-14
220_1100,1,17,-16
220_1150,3,18,-15
220_1250,6,22,-16
220_1300,1,21,-20
220_1350,5,16,-11
220_1400,1,18,-17
220_1450,2,17,-15
220_1500,3,17,-14
220_1600,1,15,-14
220_1650,1,16,-15
220_1700,2,16,-14
220_1800,1,17,-16
220_1950,2,15,-13
220_2050,9,16,-7
220_2100,11,22,-11
220_2150,8,21,-13
220_2250,14,26,-12
220_2300,9,24,-15
220_2350,12,25,-13
220_2400,13,26,-13
220_2500,8,24,-16
220_2550,11,23,-12
220_2600,9,22,-13
220_2700,9,21,-12
220_2750,8,22,-14
220_2850,4,15,-11
220_2950,3,16,-13
250_800,2,16,-14
250_850,3,19,-16
250_900,5,15,-10
250_950,4,16,-12
250_1000,7,18,-11
250_1050,4,17,-13
250_1100,5,16,-11
250_1150,4,19,-15
250_1250,7,19,-12
250_1350,4,17,-13
250_1400,3,16,-13
250_1500,2,16,-14
250_1600,1,14,-13
250_1650,1,14,-13
250_1700,1,14,-13
250_1750,1,16,-15
250_1800,1,16,-15
250_1900,2,14,-12
250_1950,1,15,-14
250_2050,5,16,-11
250_2100,4,15,-11
250_2200,12,18,-6
250_2250,10,18,-8
250_2300,14,21,-7
250_2350,16,23,-7
250_2400,16,26,-10
250_2500,14,22,-8
250_2550,11,18,-7
250_2600,11,21,-10
250_2650,10,20,-10
250_2700,12,26,-14
250_2750,11,23,-12
250_2800,9,19,-10
250_2850,9,20,-11
250_2900,2,15,-13
250_2950,8,18,-10
250_3000,1,18,-17
250_3050,1,12,-11
280_850,3,17,-14
280_900,8,19,-11
280_950,8,17,-9
280_1000,7,14,-7
280_1050,4,18,-14
280_1100,6,17,-11
280_1150,7,18,-11
280_1200,2,18,-16
280_1250,1,16,-15
280_1300,3,17,-14
280_1350,3,17,-14
280_1400,2,21,-19
280_1450,2,17,-15
280_1500,1,14,-13
280_1550,1,16,-15
280_1650,2,18,-16
280_1700,1,14,-13
280_1750,1,17,-16
280_1850,2,19,-17
280_1950,2,16,-14
280_2000,4,16,-12
280_2100,3,15,-12
280_2150,6,18,-12
280_2300,10,20,-10
280_2350,12,19,-7
280_2400,14,19,-5
280_2450,14,24,-10
280_2500,17,22,-5
280_2550,15,23,-8
280_2600,14,21,-7
280_2650,11,23,-12
280_2700,16,19,-3
280_2750,12,22,-10
280_2800,8,20,-12
280_2850,7,15,-8
280_2900,3,16,-13
280_2950,2,13,-11
310_800,3,16,-13
310_900,11,16,-5
310_950,7,18,-11
310_1000,9,16,-7
310_1050,6,20,-14
310_1100,10,22,-12
310_1150,6,20,-14
310_1200,8,20,-12
310_1250,5,20,-15
310_1300,2,16,-14
310_1400,5,16,-11
310_1500,1,17,-16
310_1600,1,14,-13
310_1700,1,15,-14
310_1750,1,15,-14
310_1800,1,16,-15
310_1850,1,17,-16
310_1900,1,17,-16
310_1950,1,16,-15
310_2000,2,18,-16
310_2100,1,14,-13
310_2150,2,17,-15
310_2250,8,19,-11
310_2350,12,22,-10
310_2400,15,20,-5
310_2450,15,22,-7
310_2550,13,24,-11
310_2650,13,24,-11
310_2700,14,21,-7
310_2750,13,23,-10
310_2800,8,18,-10
310_2850,8,16,-8
310_2900,7,22,-15
310_2950,2,15,-13
310_3000,3,15,-12
340_800,5,13,-8
340_900,3,17,-14
340_1000,10,18,-8
340_1100,9,22,-13
340_1150,7,20,-13
340_1250,8,21,-13
340_1300,7,22,-15
340_1400,1,18,-17
340_1450,4,17,-13
340_1500,5,17,-12
340_1550,1,20,-19
340_1600,1,17,-16
340_1750,1,17,-16
340_1800,1,17,-16
340_1900,1,13,-12
340_1950,2,19,-17
340_2000,4,19,-15
340_2100,4,16,-12
340_2150,3,18,-15
340_2250,5,19,-14
340_2300,4,18,-14
340_2350,11,20,-9
340_2400,10,23,-13
340_2450,12,24,-12
340_2500,16,23,-7
340_2550,11,25,-14
340_2600,17,22,-5
340_2650,12,27,-15
340_2700,13,28,-15
340_2750,10,23,-13
340_2850,4,21,-17
340_2900,4,20,-16
340_2950,1,18,-17
340_3000,2,19,-17
340_3050,1,14,-13
340_3100,3,14,-11
340_3150,3,20,-17
340_3200,2,15,-13
340_3250,1,16,-15
370_800,6,11,-5
370_850,4,9,-5
370_900,8,20,-12
370_1050,11,22,-11
370_1100,10,22,-12
370_1150,8,22,-14
370_1250,6,16,-10
370_1300,5,18,-13
370_1400,1,19,-18
370_1450,2,21,-19
370_1500,1,18,-17
370_1600,1,17,-16
370_1650,1,17,-16
370_1700,1,16,-15
370_1750,1,14,-13
370_1800,1,18,-17
370_1850,1,16,-15
370_1900,1,16,-15
370_1950,1,17,-16
370_2050,2,15,-13
370_2100,5,18,-13
370_2150,5,17,-12
370_2200,2,17,-15
370_2400,6,20,-14
370_2450,8,19,-11
370_2500,14,22,-8
370_2550,9,21,-12
370_2650,13,25,-12
370_2700,12,22,-10
370_2750,14,21,-7
370_2800,13,23,-10
370_2850,15,20,-5
370_2900,13,20,-7
370_2950,9,19,-10
370_3000,6,17,-11
370_3050,5,18,-13
370_3150,9,20,-11
370_3200,4,14,-10
370_3250,1,10,-9
370_3300,1,12,-11
400_800,2,13,-11
400_900,3,13,-10
400_1000,9,18,-9
400_1050,4,19,-15
400_1100,10,22,-12
400_1150,5,19,-14
400_1200,3,19,-16
400_1250,7,17,-10
400_1300,5,16,-11
400_1350,6,17,-11
400_1400,2,15,-13
400_1450,3,17,-14
400_1500,5,17,-12
400_1550,2,15,-13
400_1600,3,19,-16
400_1650,2,14,-12
400_1700,1,12,-11
400_1750,1,16,-15
400_1800,1,12,-11
400_1850,6,16,-10
400_1900,3,17,-14
400_2000,2,16,-14
400_2050,2,16,-14
400_2100,4,16,-12
400_2150,3,15,-12
400_2200,1,17,-16
400_2250,3,15,-12
400_2300,2,19,-17
400_2350,3,19,-16
400_2450,4,18,-14
400_2500,7,18,-11
400_2550,7,18,-11
400_2600,5,20,-15
400_2650,9,19,-10
400_2700,10,18,-8
400_2750,10,22,-12
400_2800,9,21,-12
400_2900,9,20,-11
400_3000,6,21,-15
400_3050,6,19,-13
400_3100,9,21,-12
400_3150,5,24,-19
400_3200,11,20,-9
400_3350,5,20,-15
400_3400,8,19,-11
400_3450,3,13,-10
430_800,1,14,-13
430_850,1,14,-13
430_950,3,12,-9
430_1050,5,18,-13
430_1150,10,19,-9
430_1200,7,23,-16
430_1250,6,20,-14
430_1300,5,18,-13
430_1400,5,16,-11
430_1450,5,16,-11
430_1500,2,16,-14
430_1550,4,20,-16
430_1600,1,21,-20
430_1700,6,21,-15
430_1750,1,23,-22
430_1850,1,23,-22
430_1900,2,22,-20
430_1950,2,20,-18
430_2000,2,15,-13
430_2050,1,14,-13
430_2100,1,19,-18
430_2150,1,20,-19
430_2200,2,20,-18
430_2250,4,16,-12
430_2300,5,18,-13
430_2350,3,17,-14
430_2400,2,19,-17
430_2450,1,20,-19
430_2500,3,19,-16
430_2550,2,15,-13
430_2600,7,20,-13
430_2700,9,18,-9
430_2750,10,23,-13
430_2800,6,21,-15
430_2850,10,23,-13
430_2900,7,26,-19
430_2950,15,24,-9
430_3000,12,20,-8
430_3050,8,23,-15
430_3100,8,27,-19
430_3150,15,27,-12
430_3200,9,19,-10
430_3250,6,21,-15
430_3350,9,19,-10
430_3400,10,20,-10
430_3500,2,13,-11
460_800,2,14,-12
460_850,2,17,-15
460_900,1,17,-16
460_950,1,15,-14
460_1000,2,16,-14
460_1100,5,17,-12
460_1150,7,17,-10
460_1200,8,22,-14
460_1250,8,19,-11
460_1350,8,23,-15
460_1400,5,19,-14
460_1450,5,16,-11
460_1550,7,16,-9
460_1600,5,17,-12
460_1650,6,19,-13
460_1700,2,15,-13
460_1750,3,17,-14
460_1800,3,18,-15
460_1850,3,23,-20
460_1900,1,22,-21
460_2000,2,19,-17
460_2050,2,19,-17
460_2100,1,21,-20
460_2150,1,19,-18
460_2200,1,16,-15
460_2250,2,15,-13
460_2300,1,15,-14
460_2350,3,12,-9
460_2450,3,18,-15
460_2550,1,16,-15
460_2600,2,22,-20
460_2700,8,20,-12
460_2750,8,22,-14
460_2800,6,24,-18
460_2850,7,21,-14
460_2900,8,20,-12
460_2950,12,22,-10
460_3050,9,24,-15
460_3100,11,28,-17
460_3150,10,26,-16
460_3200,9,30,-21
460_3250,7,25,-18
460_3300,3,23,-20
460_3350,7,19,-12
460_3400,6,20,-14
460_3450,8,17,-9
490_800,1,14,-13
490_850,2,14,-12
490_900,2,17,-15
490_950,2,16,-14
490_1050,6,18,-12
490_1100,5,16,-11
490_1150,5,19,-14
490_1250,1,21,-20
490_1300,1,19,-18
490_1350,6,21,-15
490_1400,4,20,-16
490_1450,8,25,-17
490_1500,5,20,-15
490_1550,3,17,-14
490_1600,3,18,-15
490_1650,3,18,-15
490_1700,3,20,-17
490_1800,2,21,-19
490_1900,2,20,-18
490_1950,2,18,-16
490_2000,1,16,-15
490_2050,1,20,-19
490_2150,2,18,-16
490_2200,1,21,-20
490_2250,2,19,-17
490_2300,2,19,-17
490_2350,3,22,-19
490_2400,1,16,-15
490_2450,1,18,-17
490_2500,2,18,-16
490_2550,1,19,-18
490_2650,3,15,-12
490_2700,10,20,-10
490_2800,6,21,-15
490_2900,6,25,-19
490_3050,14,24,-10
490_3100,14,24,-10
490_3150,10,27,-17
490_3250,6,26,-20
490_3300,3,20,-17
490_3350,6,23,-17
490_3450,7,15,-8
520_950,1,13,-12
520_1000,1,16,-15
520_1050,3,16,-13
520_1100,3,16,-13
520_1200,3,17,-14
520_1250,5,19,-14
520_1300,2,18,-16
520_1350,2,20,-18
520_1450,6,21,-15
520_1550,4,18,-14
520_1600,3,16,-13
520_1650,5,17,-12
520_1700,1,15,-14
520_1750,1,14,-13
520_1800,5,15,-10
520_1850,1,18,-17
520_1950,1,18,-17
520_2000,1,19,-18
520_2050,1,17,-16
520_2100,1,19,-18
520_2150,1,17,-16
520_2200,1,19,-18
520_2300,1,19,-18
520_2350,1,19,-18
520_2400,1,16,-15
520_2450,1,18,-17
520_2500,2,18,-16
520_2550,1,21,-20
520_2750,4,20,-16
520_2800,4,22,-18
520_2850,6,22,-16
520_2900,6,23,-17
520_2950,5,21,-16
520_3000,5,18,-13
520_3050,7,27,-20
520_3100,10,24,-14
520_3150,13,26,-13
520_3200,12,27,-15
520_3250,11,23,-12
520_3350,5,22,-17
520_3500,4,14,-10
550_950,1,10,-9
550_1050,1,10,-9
550_1100,1,13,-12
550_1150,1,17,-16
550_1200,1,14,-13
550_1250,1,15,-14
550_1300,1,15,-14
550_1400,6,17,-11
550_1450,4,19,-15
550_1500,5,14,-9
550_1550,3,16,-13
550_1600,4,13,-9
550_1650,2,13,-11
550_1700,1,14,-13
550_1750,4,20,-16
550_1900,2,18,-16
550_2000,1,15,-14
550_2050,1,19,-18
550_2100,2,21,-19
550_2150,1,18,-17
550_2200,1,19,-18
550_2250,1,16,-15
550_2300,1,16,-15
550_2350,1,18,-17
550_2400,4,20,-16
550_2450,3,17,-14
550_2550,4,18,-14
550_2600,2,19,-17
550_2650,1,19,-18
550_2700,2,19,-17
550_2750,5,21,-16
550_2800,5,21,-16
550_2850,4,20,-16
550_2900,5,24,-19
550_2950,4,21,-17
550_3050,4,20,-16
550_3100,6,23,-17
550_3150,9,25,-16
550_3200,17,24,-7
550_3300,9,27,-18
580_1150,2,12,-10
580_1250,1,12,-11
580_1400,4,19,-15
580_1450,1,22,-21
580_1500,4,16,-12
580_1550,2,20,-18
580_1600,1,18,-17
580_1650,2,19,-17
580_1700,2,20,-18
580_1750,2,19,-17
580_1850,3,18,-15
580_1900,4,20,-16
580_1950,1,15,-14
580_2000,1,20,-19
580_2050,2,15,-13
580_2100,1,20,-19
580_2150,1,19,-18
580_2250,1,16,-15
580_2300,2,16,-14
580_2400,1,20,-19
580_2450,1,22,-21
580_2500,1,17,-16
580_2550,2,19,-17
580_2650,2,17,-15
580_2800,4,19,-15
580_2850,3,18,-15
580_2900,3,21,-18
580_2950,5,21,-16
580_3000,5,20,-15
580_3050,4,21,-17
580_3100,7,19,-12
580_3150,9,23,-14
580_3200,9,21,-12
580_3250,8,22,-14
580_3300,8,22,-14
580_3350,4,21,-17
580_3450,6,17,-11
580_3500,5,13,-8
610_1150,1,12,-11
610_1200,1,13,-12
610_1250,5,16,-11
610_1300,1,15,-14
610_1400,2,18,-16
610_1450,1,18,-17
