Line-Trace,Pred-TVs,Lable-TVs,Dffirence
220_800,2,13,-11
220_850,8,18,-10
220_950,9,19,-10
220_1050,8,19,-11
220_1150,5,19,-14
220_1200,5,19,-14
220_1250,11,23,-12
220_1300,2,21,-19
220_1350,7,16,-9
220_1400,1,18,-17
220_1500,4,17,-13
220_1550,1,18,-17
220_1600,1,15,-14
220_1650,3,16,-13
220_1750,1,17,-16
220_1800,5,17,-12
220_1850,2,16,-14
220_1900,5,19,-14
220_1950,5,16,-11
220_2000,9,20,-11
220_2100,13,22,-9
220_2250,13,26,-13
220_2300,15,24,-9
220_2350,15,25,-10
220_2400,15,26,-11
220_2450,14,22,-8
220_2500,11,24,-13
220_2550,12,23,-11
220_2600,14,22,-8
220_2700,12,21,-9
220_2750,12,22,-10
220_2800,8,16,-8
220_2900,5,15,-10
220_2950,4,16,-12
220_3000,2,15,-13
250_800,4,16,-12
250_850,3,19,-16
250_900,7,15,-8
250_950,7,16,-9
250_1000,12,18,-6
250_1050,6,17,-11
250_1100,8,16,-8
250_1150,5,19,-14
250_1250,6,19,-13
250_1300,5,18,-13
250_1400,4,16,-12
250_1450,1,15,-14
250_1500,3,16,-13
250_1550,1,13,-12
250_1650,1,14,-13
250_1700,3,14,-11
250_1750,3,16,-13
250_1800,3,16,-13
250_1900,4,14,-10
250_1950,4,15,-11
250_2000,8,15,-7
250_2100,6,17,-11
250_2150,11,16,-5
250_2200,13,18,-5
250_2250,11,18,-7
250_2300,14,21,-7
250_2350,15,23,-8
250_2450,18,23,-5
250_2500,19,22,-3
250_2550,16,18,-2
250_2600,13,21,-8
250_2650,11,20,-9
250_2750,14,23,-9
250_2800,10,19,-9
250_2850,9,20,-11
250_2950,11,18,-7
250_3000,5,18,-13
280_850,4,17,-13
280_900,11,19,-8
280_950,6,17,-11
280_1000,8,14,-6
280_1050,6,18,-12
280_1100,7,17,-10
280_1250,1,16,-15
280_1300,4,17,-13
280_1350,5,17,-12
280_1400,3,21,-18
280_1450,3,17,-14
280_1600,2,15,-13
280_1650,5,18,-13
280_1700,1,14,-13
280_1750,1,17,-16
280_1800,1,19,-18
280_1850,4,20,-16
280_1900,1,13,-12
280_1950,3,17,-14
280_2000,3,16,-13
280_2100,4,17,-13
280_2150,8,18,-10
280_2200,11,19,-8
280_2250,13,21,-8
280_2300,13,20,-7
280_2350,15,19,-4
280_2450,16,24,-8
280_2550,20,23,-3
280_2600,11,21,-10
280_2650,14,23,-9
280_2700,17,19,-2
280_2750,15,22,-7
280_2800,10,20,-10
280_2850,10,15,-5
280_2950,2,13,-11
280_3000,7,13,-6
310_850,6,16,-10
310_900,10,16,-6
310_950,9,18,-9
310_1000,9,16,-7
310_1050,7,20,-13
310_1100,16,22,-6
310_1150,8,20,-12
310_1200,11,20,-9
310_1250,8,20,-12
310_1350,7,16,-9
310_1400,6,16,-10
310_1450,4,14,-10
310_1500,1,17,-16
310_1550,1,15,-14
310_1600,1,14,-13
310_1700,1,15,-14
310_1850,2,17,-15
310_1900,2,17,-15
310_1950,4,16,-12
310_2000,3,18,-15
310_2050,2,17,-15
310_2100,2,14,-12
310_2150,3,18,-15
310_2200,5,16,-11
310_2250,8,19,-11
310_2350,15,22,-7
310_2400,14,20,-6
310_2450,14,22,-8
310_2500,12,20,-8
310_2600,16,22,-6
310_2650,14,24,-10
310_2700,15,21,-6
310_2800,12,18,-6
310_2850,10,16,-6
310_2900,7,22,-15
310_2950,5,15,-10
310_3000,6,15,-9
340_800,7,13,-6
340_850,6,15,-9
340_900,3,17,-14
340_950,9,18,-9
340_1100,13,22,-9
340_1150,6,19,-13
340_1200,9,21,-12
340_1250,12,21,-9
340_1300,8,23,-15
340_1350,3,19,-16
340_1400,6,18,-12
340_1450,2,17,-15
340_1500,6,17,-11
340_1600,1,17,-16
340_1650,3,16,-13
340_1750,1,17,-16
340_1800,1,17,-16
340_1850,3,14,-11
340_1900,2,13,-11
340_1950,4,19,-15
340_2000,5,20,-15
340_2050,3,15,-12
340_2100,7,17,-10
340_2150,3,18,-15
340_2200,3,19,-16
340_2250,4,19,-15
340_2400,11,23,-12
340_2450,12,24,-12
340_2500,17,23,-6
340_2550,14,25,-11
340_2600,18,22,-4
340_2700,17,28,-11
340_2750,14,23,-9
340_2800,15,22,-7
340_2900,4,20,-16
340_2950,3,18,-15
340_3000,2,19,-17
340_3050,3,14,-11
340_3100,5,14,-9
340_3150,8,20,-12
340_3300,1,15,-14
370_800,5,11,-6
370_850,4,9,-5
370_900,8,20,-12
370_950,11,19,-8
370_1000,10,18,-8
370_1050,10,22,-12
370_1100,14,22,-8
370_1200,9,21,-12
370_1250,6,16,-10
370_1350,3,18,-15
370_1400,4,19,-15
370_1450,4,21,-17
370_1550,5,18,-13
370_1600,1,17,-16
370_1650,1,17,-16
370_1700,1,16,-15
370_1750,1,14,-13
370_1850,1,16,-15
370_1900,1,16,-15
370_1950,1,17,-16
370_2050,6,16,-10
370_2100,8,17,-9
370_2200,7,17,-10
370_2250,5,17,-12
370_2300,9,16,-7
370_2350,5,19,-14
370_2400,10,20,-10
370_2450,8,19,-11
370_2500,17,22,-5
370_2550,12,21,-9
370_2600,9,19,-10
370_2700,13,22,-9
370_2750,13,21,-8
370_2800,15,22,-7
370_2900,15,20,-5
370_2950,10,19,-9
370_3000,11,17,-6
370_3050,9,18,-9
370_3200,7,15,-8
370_3250,2,10,-8
370_3300,1,12,-11
400_800,5,13,-8
400_900,4,13,-9
400_1000,10,18,-8
400_1100,13,22,-9
400_1200,5,19,-14
400_1250,6,17,-11
400_1300,6,16,-10
400_1350,7,17,-10
400_1450,3,17,-14
400_1550,1,15,-14
400_1600,4,19,-15
400_1650,4,14,-10
400_1700,1,12,-11
400_1750,1,16,-15
400_1800,1,12,-11
400_1850,6,16,-10
400_1900,4,17,-13
400_1950,1,14,-13
400_2000,4,15,-11
400_2050,3,18,-15
400_2150,5,15,-10
400_2250,2,16,-14
400_2300,2,18,-16
400_2450,7,18,-11
400_2500,8,18,-10
400_2550,7,18,-11
400_2600,12,20,-8
400_2650,11,19,-8
400_2700,11,18,-7
400_2750,13,22,-9
400_2800,10,21,-11
400_2850,16,24,-8
400_2900,12,20,-8
400_2950,11,22,-11
400_3000,10,21,-11
400_3100,16,21,-5
400_3200,12,20,-8
400_3250,4,18,-14
400_3300,2,18,-16
400_3350,6,20,-14
400_3400,5,19,-14
400_3450,6,13,-7
400_3500,1,11,-10
430_800,2,14,-12
430_850,3,14,-11
430_950,4,12,-8
430_1000,6,17,-11
430_1050,6,18,-12
430_1100,8,18,-10
430_1200,9,24,-15
430_1250,7,20,-13
430_1300,8,18,-10
430_1350,6,21,-15
430_1450,5,16,-11
430_1500,6,16,-10
430_1550,5,20,-15
430_1650,4,19,-15
430_1700,5,21,-16
430_1750,1,23,-22
430_1800,2,21,-19
430_1850,1,23,-22
430_1900,7,22,-15
430_1950,1,20,-19
430_2000,4,15,-11
430_2100,1,20,-19
430_2150,1,20,-19
430_2250,4,17,-13
430_2300,5,19,-14
430_2350,3,17,-14
430_2400,4,19,-15
430_2500,5,19,-14
430_2550,9,15,-6
430_2600,9,20,-11
430_2650,11,19,-8
430_2700,12,18,-6
430_2750,11,23,-12
430_2850,14,23,-9
430_2900,9,26,-17
430_3000,14,20,-6
430_3050,9,23,-14
430_3100,15,27,-12
430_3150,21,27,-6
430_3200,11,19,-8
430_3250,6,21,-15
430_3300,7,22,-15
430_3400,12,20,-8
430_3500,3,13,-10
460_800,7,14,-7
460_850,3,18,-15
460_900,3,17,-14
460_950,2,17,-15
460_1000,5,16,-11
460_1050,4,21,-17
460_1150,11,17,-6
460_1200,9,24,-15
460_1250,10,20,-10
460_1300,7,22,-15
460_1350,7,23,-16
460_1400,5,19,-14
460_1550,10,16,-6
460_1600,7,18,-11
460_1650,6,19,-13
460_1700,3,15,-12
460_1750,4,18,-14
460_1800,5,18,-13
460_1900,1,22,-21
460_1950,2,18,-16
460_2000,2,19,-17
460_2050,1,19,-18
460_2100,2,21,-19
460_2150,1,19,-18
460_2200,4,16,-12
460_2300,1,16,-15
460_2350,5,12,-7
460_2400,3,18,-15
460_2450,5,17,-12
460_2500,5,21,-16
460_2550,3,16,-13
460_2650,5,21,-16
460_2700,9,20,-11
460_2800,8,26,-18
460_2850,7,21,-14
460_2900,10,20,-10
460_2950,9,22,-13
460_3000,11,23,-12
460_3050,13,24,-11
460_3100,13,28,-15
460_3150,11,26,-15
460_3250,5,25,-20
460_3400,6,20,-14
460_3450,8,17,-9
490_800,1,15,-14
490_850,4,14,-10
490_900,4,17,-13
490_950,4,16,-12
490_1000,3,22,-19
490_1050,8,18,-10
490_1100,6,16,-10
490_1150,8,20,-12
490_1250,2,21,-19
490_1300,4,19,-15
490_1350,8,21,-13
490_1400,5,20,-15
490_1500,6,20,-14
490_1550,7,17,-10
490_1600,4,18,-14
490_1650,2,18,-16
490_1700,2,20,-18
490_1750,1,21,-20
490_1800,3,21,-18
490_1850,4,22,-18
490_1900,1,20,-19
490_1950,1,18,-17
490_2100,1,21,-20
