Line-Trace,Pred-TVs,Lable-TVs,Dffirence
220_800,10,13,-3
220_850,9,18,-9
220_950,7,19,-12
220_1050,7,19,-12
220_1150,11,19,-8
220_1200,10,19,-9
220_1250,6,23,-17
220_1300,7,21,-14
220_1350,6,16,-10
220_1400,19,18,1
220_1500,8,17,-9
220_1550,14,18,-4
220_1600,15,15,0
220_1650,9,16,-7
220_1750,11,17,-6
220_1800,11,17,-6
220_1850,13,16,-3
220_1900,10,19,-9
220_1950,8,16,-8
220_2000,8,20,-12
220_2100,6,22,-16
220_2250,6,26,-20
220_2300,4,24,-20
220_2350,5,25,-20
220_2400,4,26,-22
220_2450,6,22,-16
220_2500,6,24,-18
220_2550,6,23,-17
220_2600,5,22,-17
220_2700,7,21,-14
220_2750,5,22,-17
220_2800,9,16,-7
220_2900,15,15,0
220_2950,17,16,1
220_3000,18,15,3
250_800,10,16,-6
250_850,6,19,-13
250_900,10,15,-5
250_950,11,16,-5
250_1000,6,18,-12
250_1050,5,17,-12
250_1100,7,16,-9
250_1150,7,19,-12
250_1250,6,19,-13
250_1300,7,18,-11
250_1400,7,16,-9
250_1450,17,15,2
250_1500,7,16,-9
250_1550,18,13,5
250_1650,10,14,-4
250_1700,8,14,-6
250_1750,9,16,-7
250_1800,10,16,-6
250_1900,6,14,-8
250_1950,5,15,-10
250_2000,6,15,-9
250_2100,8,17,-9
250_2150,5,16,-11
250_2200,6,18,-12
250_2250,6,18,-12
250_2300,5,21,-16
250_2350,5,23,-18
250_2450,5,23,-18
250_2500,5,22,-17
250_2550,5,18,-13
250_2600,5,21,-16
250_2650,6,20,-14
250_2750,5,23,-18
250_2800,5,19,-14
250_2850,8,20,-12
250_2950,11,18,-7
250_3000,17,18,-1
280_850,10,17,-7
280_900,5,19,-14
280_950,11,17,-6
280_1000,10,14,-4
280_1050,11,18,-7
280_1100,6,17,-11
280_1250,18,16,2
280_1300,8,17,-9
280_1350,7,17,-10
280_1400,10,21,-11
280_1450,6,17,-11
280_1600,6,15,-9
280_1650,7,18,-11
280_1700,12,14,-2
280_1750,20,17,3
280_1800,11,19,-8
280_1850,9,20,-11
280_1900,11,13,-2
280_1950,6,17,-11
280_2000,7,16,-9
280_2100,6,17,-11
280_2150,8,18,-10
280_2200,6,19,-13
280_2250,5,21,-16
280_2300,6,20,-14
280_2350,6,19,-13
