Line-Trace,Pred-TVs,Lable-TVs,Dffirence
220_800,12,13,-1
220_850,17,18,-1
220_950,16,19,-3
220_1050,15,19,-4
220_1150,16,19,-3
220_1200,15,19,-4
220_1250,17,23,-6
220_1300,9,21,-12
220_1350,13,16,-3
220_1400,20,18,2
220_1500,12,17,-5
220_1550,15,18,-3
220_1600,16,15,1
220_1650,12,16,-4
220_1750,12,17,-5
220_1800,16,17,-1
220_1850,15,16,-1
220_1900,15,19,-4
220_1950,13,16,-3
220_2000,17,20,-3
220_2100,19,22,-3
220_2250,19,26,-7
220_2300,19,24,-5
220_2350,20,25,-5
220_2400,19,26,-7
220_2450,20,22,-2
220_2500,17,24,-7
220_2550,18,23,-5
220_2600,19,22,-3
220_2700,19,21,-2
220_2750,17,22,-5
220_2800,17,16,1
220_2900,20,15,5
220_2950,21,16,5
220_3000,20,15,5
250_800,14,16,-2
250_850,9,19,-10
250_900,17,15,2
250_950,18,16,2
250_1000,18,18,0
250_1050,11,17,-6
250_1100,15,16,-1
250_1150,12,19,-7
250_1250,12,19,-7
250_1300,12,18,-6
250_1400,11,16,-5
250_1450,18,15,3
250_1500,10,16,-6
250_1550,19,13,6
250_1650,11,14,-3
250_1700,11,14,-3
250_1750,12,16,-4
250_1800,13,16,-3
250_1900,10,14,-4
250_1950,9,15,-6
250_2000,14,15,-1
250_2100,14,17,-3
250_2150,16,16,0
250_2200,19,18,1
250_2250,17,18,-1
250_2300,19,21,-2
250_2350,20,23,-3
250_2450,23,23,0
250_2500,24,22,2
250_2550,21,18,3
250_2600,18,21,-3
250_2650,17,20,-3
250_2750,19,23,-4
250_2800,15,19,-4
250_2850,17,20,-3
250_2950,22,18,4
250_3000,22,18,4
280_850,14,17,-3
280_900,16,19,-3
280_950,17,17,0
280_1000,18,14,4
280_1050,17,18,-1
280_1100,13,17,-4
280_1250,19,16,3
280_1300,12,17,-5
280_1350,12,17,-5
280_1400,13,21,-8
280_1450,9,17,-8
280_1600,8,15,-7
280_1650,12,18,-6
280_1700,13,14,-1
280_1750,21,17,4
280_1800,12,19,-7
280_1850,13,20,-7
280_1900,12,13,-1
280_1950,9,17,-8
280_2000,10,16,-6
280_2100,10,17,-7
280_2150,16,18,-2
280_2200,17,19,-2
280_2250,18,21,-3
280_2300,19,20,-1
280_2350,21,19,2
280_2450,21,24,-3
280_2550,25,23,2
280_2600,19,21,-2
280_2650,19,23,-4
280_2700,22,19,3
280_2750,20,22,-2
280_2800,19,20,-1
280_2850,17,15,2
280_2950,16,13,3
280_3000,23,13,10
310_850,12,16,-4
310_900,19,16,3
310_950,16,18,-2
310_1000,17,16,1
310_1050,12,20,-8
310_1100,22,22,0
310_1150,15,20,-5
310_1200,16,20,-4
310_1250,16,20,-4
310_1350,12,16,-4
310_1400,12,16,-4
310_1450,12,14,-2
310_1500,15,17,-2
310_1550,6,15,-9
310_1600,17,14,3
310_1700,8,15,-7
310_1850,18,17,1
310_1900,13,17,-4
310_1950,14,16,-2
310_2000,14,18,-4
310_2050,8,17,-9
310_2100,8,14,-6
310_2150,12,18,-6
310_2200,13,16,-3
310_2250,13,19,-6
310_2350,22,22,0
310_2400,20,20,0
310_2450,21,22,-1
310_2500,17,20,-3
310_2600,22,22,0
310_2650,21,24,-3
310_2700,21,21,0
310_2800,17,18,-1
310_2850,18,16,2
310_2900,16,22,-6
310_2950,18,15,3
310_3000,24,15,9
340_800,15,13,2
340_850,14,15,-1
340_900,13,17,-4
340_950,16,18,-2
340_1100,19,22,-3
340_1150,13,19,-6
340_1200,16,21,-5
340_1250,19,21,-2
340_1300,15,23,-8
340_1350,11,19,-8
340_1400,11,18,-7
340_1450,12,17,-5
340_1500,13,17,-4
340_1600,22,17,5
340_1650,14,16,-2
340_1750,9,17,-8
340_1800,8,17,-9
340_1850,11,14,-3
340_1900,7,13,-6
340_1950,14,19,-5
340_2000,14,20,-6
340_2050,12,15,-3
340_2100,13,17,-4
340_2150,13,18,-5
340_2200,12,19,-7
340_2250,12,19,-7
340_2400,17,23,-6
340_2450,18,24,-6
340_2500,22,23,-1
340_2550,19,25,-6
340_2600,22,22,0
340_2700,22,28,-6
340_2750,19,23,-4
340_2800,20,22,-2
340_2900,13,20,-7
340_2950,12,18,-6
340_3000,17,19,-2
