line,trace,time,velocity
220,850,92,1750
220,850,227,1970
220,850,238,1950
220,850,574,2430
220,850,787,2800
220,850,1126,3260
220,850,1422,3620
220,850,1748,3840
220,850,2351,4220
220,850,2613,4340
220,850,2863,4420
220,850,3243,4529
220,850,3563,4600
220,850,3971,4640
220,850,4572,4770
220,850,5702,5120
220,850,6888,5500
220,850,7947,5720
220,900,83,1770
220,900,314,2110
220,900,420,2300
220,900,700,2860
220,900,925,3270
220,900,1266,3640
220,900,1508,3850
220,900,1731,3940
220,900,2340,4170
220,900,2943,4370
220,900,3650,4660
220,900,4654,4830
220,900,5912,5200
220,900,7191,5560
220,900,7950,5720
220,950,129,1890
220,950,355,2340
220,950,520,2600
220,950,802,3130
220,950,935,3300
220,950,1036,3420
220,950,1260,3680
220,950,1429,3900
220,950,1449,3920
220,950,1603,4000
220,950,2276,4250
220,950,2460,4260
220,950,3500,4520
220,950,4190,4750
220,950,4472,4840
220,950,5072,4940
220,950,6060,5260
220,950,6854,5450
220,950,7329,5640
220,950,7950,5770
220,1000,152,1860
220,1000,295,2190
220,1000,578,2730
220,1000,820,3260
220,1000,947,3510
220,1000,1084,3680
220,1000,1400,3900
220,1000,1665,3990
220,1000,2240,4310
220,1000,2431,4430
220,1000,2877,4560
220,1000,3579,4580
220,1000,3988,4670
220,1000,4618,5030
220,1000,5144,5090
220,1000,5475,5180
220,1000,6776,5540
220,1000,7560,5660
220,1000,7933,5730
220,1050,156,1920
220,1050,420,2650
220,1050,651,3130
220,1050,852,3419
220,1050,960,3570
220,1050,1147,3810
220,1050,1366,3930
220,1050,1518,4070
220,1050,2171,4270
220,1050,2660,4480
220,1050,3260,4540
220,1050,3604,4620
220,1050,4460,4940
220,1050,5251,5240
220,1050,5899,5410
220,1050,6393,5500
220,1050,7297,5620
220,1050,7939,5800
220,1100,101,1900
220,1100,281,2290
220,1100,380,2580
220,1100,536,2910
220,1100,752,3230
220,1100,1212,3830
220,1100,1374,4010
220,1100,1565,4150
220,1100,2105,4350
220,1100,3455,4690
220,1100,3603,4730
220,1100,4493,5030
220,1100,5453,5270
220,1100,5769,5360
220,1100,6483,5600
220,1100,7308,5660
220,1100,7955,5840
220,1150,106,1950
220,1150,321,2470
220,1150,512,2730
220,1150,646,2970
220,1150,800,3280
220,1150,1020,3730
220,1150,1196,3960
220,1150,1480,4220
220,1150,2040,4400
220,1150,2400,4560
220,1150,2620,4640
220,1150,3208,4780
220,1150,3507,4860
220,1150,3940,5060
220,1150,5160,5310
220,1150,5929,5470
220,1150,6580,5630
220,1150,7911,5870
220,1250,155,2010
220,1250,453,2580
220,1250,600,3010
220,1250,788,3410
220,1250,1106,3850
220,1250,1405,4120
220,1250,1729,4350
220,1250,2086,4480
220,1250,2460,4460
220,1250,2620,4480
220,1250,2723,4520
220,1250,3040,4640
220,1250,3340,4760
220,1250,3504,4800
220,1250,3700,4860
220,1250,3883,4960
220,1250,4220,5080
220,1250,4688,5180
220,1250,5249,5350
220,1250,5863,5530
220,1250,7087,5860
220,1250,7941,5970
220,1300,150,2050
220,1300,225,2200
220,1300,346,2470
220,1300,608,3010
220,1300,880,3480
220,1300,1140,3800
220,1300,1412,4120
220,1300,1621,4200
220,1300,1934,4400
220,1300,2120,4480
220,1300,2444,4550
220,1300,2696,4460
220,1300,3030,4380
220,1300,3320,4460
220,1300,3540,4620
220,1300,3720,4760
220,1300,4374,5060
220,1300,5309,5290
220,1300,6100,5520
220,1300,6917,5760
220,1300,7941,5920
220,1350,116,2030
220,1350,328,2440
220,1350,460,2700
220,1350,703,3090
220,1350,999,3450
220,1350,1537,4030
220,1350,2114,4290
220,1350,2672,4260
220,1350,3130,4350
220,1350,3740,4540
220,1350,4104,4670
220,1350,4774,4930
220,1350,5468,5050
220,1350,6282,5320
220,1350,7179,5520
220,1350,7900,5620
220,1400,126,1920
220,1400,231,2240
220,1400,340,2440
220,1400,642,2950
220,1400,952,3310
220,1400,1182,3650
220,1400,1582,4030
220,1400,2175,4230
220,1400,2648,4260
220,1400,3140,4440
220,1400,3351,4460
220,1400,3627,4600
220,1400,4324,4840
220,1400,5084,5070
220,1400,5460,5080
220,1400,6158,5330
220,1400,7154,5580
220,1400,7941,5710
220,1450,118,1980
220,1450,240,2260
220,1450,406,2540
220,1450,825,3150
220,1450,1327,3740
220,1450,1636,4120
220,1450,1947,4280
220,1450,2100,4290
220,1450,2588,4330
220,1450,3288,4540
220,1450,3820,4740
220,1450,4340,4920
220,1450,4756,5010
220,1450,5339,5120
220,1450,6083,5350
220,1450,7159,5610
220,1450,7950,5770
220,1500,121,1990
220,1500,213,2200
220,1500,317,2420
220,1500,603,2820
220,1500,857,3140
220,1500,1080,3440
220,1500,1688,4030
220,1500,2400,4460
220,1500,2631,4550
220,1500,3180,4600
220,1500,3606,4830
220,1500,4105,4950
220,1500,4503,5060
220,1500,5192,5210
220,1500,6116,5410
220,1500,6983,5640
220,1500,7953,5820
220,1600,94,2110
220,1600,377,2490
220,1600,574,2800
220,1600,756,2930
220,1600,1221,3520
220,1600,1485,3850
220,1600,1999,4260
220,1600,2360,4480
220,1600,3521,4900
220,1600,4192,5110
220,1600,5376,5480
220,1600,6359,5670
220,1600,7103,5850
220,1600,7610,5920
220,1600,7935,5980
220,1650,163,2330
220,1650,412,2720
220,1650,683,3080
220,1650,1083,3560
220,1650,1360,3740
220,1650,1644,3970
220,1650,2172,4270
220,1650,2474,4420
220,1650,2961,4560
220,1650,3600,4940
220,1650,4325,5240
220,1650,4744,5380
220,1650,5099,5390
220,1650,6108,5650
220,1650,7058,5800
220,1650,7935,6000
220,1700,48,2280
220,1700,168,2440
220,1700,387,2780
220,1700,898,3300
220,1700,1085,3500
220,1700,1252,3650
220,1700,1560,3860
220,1700,2163,4230
220,1700,2840,4500
220,1700,3623,4850
220,1700,4360,5150
220,1700,5031,5360
220,1700,5860,5620
