line,trace,time,velocity
220,800,103,1770
220,800,401,2290
220,800,622,2670
220,800,1040,3285
220,800,1388,3630
220,800,1896,3890
220,800,2456,4080
220,800,3209,4389
220,800,3618,4520
220,800,4468,4770
220,800,5860,5170
220,800,6965,5510
220,800,7960,5720
220,850,92,1750
220,850,227,1970
220,850,238,1950
220,850,574,2430
220,850,787,2800
220,850,1126,3260
220,850,1422,3620
220,850,1748,3840
220,850,2351,4220
220,850,2613,4340
220,850,2863,4420
220,850,3243,4529
220,850,3563,4600
220,850,3971,4640
220,850,4572,4770
220,850,5702,5120
220,850,6888,5500
220,850,7947,5720
220,950,129,1890
220,950,355,2340
220,950,520,2600
220,950,802,3130
220,950,935,3300
220,950,1036,3420
220,950,1260,3680
220,950,1429,3900
220,950,1603,4000
220,950,2276,4250
220,950,2460,4260
220,950,3500,4520
220,950,4190,4750
220,950,4472,4840
220,950,5072,4940
220,950,6060,5260
220,950,6854,5450
220,950,7329,5640
220,950,7950,5770
220,1050,23,1734
220,1050,124,1960
220,1050,420,2650
220,1050,651,3130
220,1050,852,3419
220,1050,960,3570
220,1050,1125,3720
220,1050,1344,3860
220,1050,1645,3990
220,1050,2171,4210
220,1050,2660,4480
220,1050,3254,4560
220,1050,3604,4620
220,1050,4460,4940
220,1050,5251,5240
220,1050,5899,5410
220,1050,6393,5500
220,1050,7297,5620
220,1050,7939,5800
220,1150,106,1950
220,1150,321,2470
220,1150,485,2800
220,1150,635,3009
220,1150,800,3280
220,1150,1020,3730
220,1150,1211,3980
220,1150,1480,4220
220,1150,2040,4400
220,1150,2220,4440
220,1150,2389,4510
220,1150,2651,4590
220,1150,3208,4780
220,1150,3507,4860
220,1150,3940,5060
220,1150,5160,5310
220,1150,5929,5470
220,1150,6580,5630
220,1150,7911,5870
220,1200,160,2040
220,1200,303,2270
220,1200,412,2480
220,1200,551,2880
220,1200,872,3620
220,1200,1100,3920
220,1200,1316,4120
220,1200,1620,4340
220,1200,2135,4490
220,1200,2354,4510
220,1200,2500,4520
220,1200,2663,4600
220,1200,2844,4640
220,1200,3180,4800
220,1200,3631,4920
220,1200,4318,5140
220,1200,5119,5390
220,1200,6462,5730
220,1200,7898,5950
220,1250,39,1899
220,1250,178,2044
220,1250,437,2630
220,1250,600,3010
220,1250,788,3410
220,1250,1106,3850
220,1250,1405,4120
220,1250,1729,4350
220,1250,2086,4480
220,1250,2460,4460
220,1250,2620,4480
220,1250,2723,4520
220,1250,3040,4640
220,1250,3340,4760
220,1250,3504,4800
220,1250,3700,4860
220,1250,3883,4960
220,1250,4220,5080
220,1250,4688,5180
220,1250,5249,5350
220,1250,5863,5530
220,1250,7087,5860
220,1250,7941,5970
220,1300,150,2050
220,1300,225,2200
220,1300,346,2470
220,1300,608,3010
220,1300,880,3480
220,1300,1140,3800
220,1300,1412,4120
220,1300,1621,4200
220,1300,1934,4400
220,1300,2120,4480
220,1300,2444,4550
220,1300,2696,4460
220,1300,3030,4380
220,1300,3320,4460
220,1300,3540,4620
220,1300,3720,4760
220,1300,4374,5060
220,1300,5309,5290
220,1300,6100,5520
220,1300,6917,5760
220,1300,7941,5920
220,1350,116,2030
220,1350,328,2440
220,1350,460,2700
220,1350,703,3090
220,1350,999,3450
220,1350,1537,4030
220,1350,2114,4290
220,1350,2672,4260
220,1350,3130,4350
220,1350,3740,4540
220,1350,4104,4670
220,1350,4774,4930
220,1350,5468,5050
220,1350,6282,5320
220,1350,7179,5520
220,1350,7900,5620
220,1400,126,1920
220,1400,231,2240
220,1400,340,2440
220,1400,642,2950
220,1400,952,3310
220,1400,1182,3650
220,1400,1582,4030
220,1400,2175,4230
220,1400,2648,4260
220,1400,3140,4440
220,1400,3351,4460
220,1400,3627,4600
220,1400,4324,4840
220,1400,5084,5070
220,1400,5460,5080
220,1400,6158,5330
220,1400,7154,5580
220,1400,7941,5710
220,1500,121,1990
220,1500,213,2200
220,1500,317,2420
220,1500,603,2820
220,1500,857,3140
220,1500,1080,3440
220,1500,1688,4030
220,1500,2400,4460
220,1500,2631,4550
220,1500,3180,4600
220,1500,3606,4830
220,1500,4105,4950
220,1500,4503,5060
220,1500,5192,5210
220,1500,6116,5410
220,1500,6983,5640
220,1500,7953,5820
220,1550,112,2020
220,1550,265,2340
220,1550,518,2710
220,1550,782,2990
220,1550,989,3270
220,1550,1487,3850
220,1550,1829,4100
220,1550,2274,4390
220,1550,2997,4620
220,1550,3100,4620
220,1550,3240,4680
220,1550,3711,4820
220,1550,4054,4910
220,1550,5048,5180
220,1550,5682,5330
220,1550,6451,5580
220,1550,7246,5750
220,1550,7935,5880
220,1600,94,2110
220,1600,377,2490
220,1600,574,2800
220,1600,756,2930
220,1600,1221,3520
220,1600,1485,3850
220,1600,1999,4260
220,1600,2360,4480
220,1600,3521,4900
220,1600,4192,5110
220,1600,5376,5480
220,1600,6359,5670
220,1600,7103,5850
220,1600,7610,5920
220,1600,7935,5980
220,1650,163,2330
220,1650,412,2720
220,1650,683,3080
220,1650,1083,3560
220,1650,1360,3740
220,1650,1644,3970
220,1650,2172,4270
220,1650,2474,4420
220,1650,2961,4560
220,1650,3600,4940
220,1650,4325,5240
220,1650,4744,5380
220,1650,5099,5390
220,1650,6108,5650
220,1650,7058,5800
220,1650,7935,6000
220,1750,42,2410
220,1750,209,2610
220,1750,368,2780
220,1750,546,2930
220,1750,907,3260
220,1750,1268,3630
220,1750,1599,3940
220,1750,2440,4390
220,1750,2816,4500
220,1750,3548,4940
220,1750,4377,5190
220,1750,5070,5360
220,1750,5553,5520
220,1750,6140,5560
220,1750,6660,5640
220,1750,7231,5820
220,1750,7950,6000
220,1800,94,2140
220,1800,209,2200
220,1800,339,2350
220,1800,716,2920
220,1800,941,3180
220,1800,1245,3480
220,1800,1487,3770
220,1800,2028,4200
220,1800,2336,4330
220,1800,2560,4400
220,1800,2808,4570
220,1800,3280,4760
220,1800,4100,5100
220,1800,4780,5340
220,1800,6143,5610
220,1800,7416,5810
220,1800,7950,6030
220,1850,127,2040
220,1850,332,2370
220,1850,549,2670
220,1850,1262,3660
220,1850,1502,3850
220,1850,2016,4290
220,1850,2436,4410
220,1850,2812,4610
220,1850,3636,5060
220,1850,3780,5160
220,1850,4720,5480
220,1850,4980,5600
220,1850,5757,5640
220,1850,6787,5810
220,1850,7528,5930
220,1850,7953,6070
220,1900,68,1960
220,1900,180,1990
220,1900,356,2229
220,1900,956,3230
220,1900,1223,3580
220,1900,1673,3970
220,1900,1881,4100
220,1900,2080,4230
220,1900,2252,4320
220,1900,2569,4440
220,1900,2783,4620
220,1900,3256,4870
220,1900,4008,5370
220,1900,4735,5620
220,1900,5471,5690
220,1900,6111,5790
220,1900,6712,5900
220,1900,7318,6010
220,1900,7935,6130
220,1950,97,1900
220,1950,209,1970
220,1950,388,2290
220,1950,671,2800
220,1950,962,3220
220,1950,1336,3760
220,1950,1548,3990
220,1950,2140,4380
220,1950,2440,4520
220,1950,2698,4660
220,1950,3220,4980
220,1950,3848,5160
220,1950,5020,5480
220,1950,6028,5640
220,1950,6885,5790
220,1950,7944,6020
220,2000,80,2070
220,2000,186,2170
220,2000,342,2380
220,2000,510,2530
220,2000,669,2770
220,2000,812,2950
220,2000,1156,3560
220,2000,1754,4010
220,2000,1940,4060
220,2000,2367,4270
220,2000,2599,4400
220,2000,2851,4470
220,2000,3020,4520
220,2000,3260,4540
220,2000,3973,4750
220,2000,4936,4930
220,2000,5655,5070
220,2000,6509,5230
220,2000,7254,5330
220,2000,7921,5500
220,2100,68,1890
220,2100,243,2150
220,2100,394,2450
220,2100,720,2960
220,2100,960,3260
220,2100,1167,3480
220,2100,1425,3730
220,2100,1908,3930
220,2100,2281,4090
220,2100,2570,4170
220,2100,2740,4160
220,2100,2940,4300
220,2100,3071,4300
220,2100,3575,4420
220,2100,3820,4500
220,2100,3960,4560
220,2100,4364,4750
220,2100,4860,4940
220,2100,5468,5120
220,2100,6189,5230
220,2100,6997,5380
220,2100,7938,5550
220,2250,41,1990
220,2250,219,2350
220,2250,365,2660
220,2250,638,3120
220,2250,948,3430
220,2250,1207,3580
220,2250,1416,3580
220,2250,1620,3620
220,2250,1720,3660
220,2250,2117,3890
220,2250,2360,3940
220,2250,2591,3990
220,2250,2780,4100
220,2250,2928,4110
220,2250,3000,4140
220,2250,3204,4210
220,2250,3740,4320
220,2250,3860,4340
220,2250,4071,4439
220,2250,4365,4550
220,2250,4591,4610
220,2250,5172,4770
220,2250,5973,4960
220,2250,6807,5150
220,2250,7345,5280
220,2250,7953,5450
220,2300,49,1860
220,2300,180,2120
220,2300,304,2360
220,2300,411,2560
220,2300,536,2760
220,2300,779,3080
220,2300,1035,3380
220,2300,1180,3470
220,2300,1320,3530
220,2300,1583,3630
220,2300,1725,3670
220,2300,2080,3890
220,2300,2237,3920
220,2300,2360,3950
220,2300,2560,3980
220,2300,2740,4140
220,2300,2912,4190
220,2300,3217,4200
220,2300,3740,4480
220,2300,4480,4720
220,2300,5040,4880
220,2300,5572,5020
220,2300,6668,5180
220,2300,7947,5400
220,2350,37,2150
220,2350,240,2480
220,2350,494,2890
220,2350,620,3060
220,2350,822,3220
220,2350,1034,3360
220,2350,1226,3460
220,2350,1400,3520
220,2350,1540,3580
220,2350,1711,3650
220,2350,1980,3800
220,2350,2080,3900
220,2350,2340,3960
220,2350,2725,4100
220,2350,2880,4200
220,2350,3260,4260
220,2350,3580,4380
220,2350,3720,4480
220,2350,3960,4540
220,2350,4160,4640
220,2350,4440,4740
220,2350,5660,5100
220,2350,6146,5090
220,2350,6971,5190
220,2350,7944,5400
220,2400,24,2270
220,2400,148,2420
220,2400,285,2630
220,2400,560,3060
220,2400,700,3180
220,2400,900,3320
220,2400,1170,3430
220,2400,1420,3540
220,2400,1560,3620
220,2400,1736,3760
220,2400,2136,3910
220,2400,2240,3920
220,2400,2363,3980
220,2400,2724,4140
220,2400,2880,4140
220,2400,2980,4220
220,2400,3160,4240
220,2400,3380,4280
220,2400,3780,4520
220,2400,4020,4580
220,2400,4500,4720
220,2400,5234,4890
220,2400,6312,5190
220,2400,6607,5210
220,2400,7093,5280
220,2400,7944,5480
220,2450,43,2260
220,2450,206,2450
220,2450,414,2660
220,2450,720,3070
220,2450,900,3220
220,2450,1100,3380
220,2450,1287,3520
220,2450,1588,3690
220,2450,1796,3790
220,2450,2032,3900
220,2450,2160,3940
220,2450,2380,3960
220,2450,2740,4060
220,2450,2880,4080
220,2450,3163,4150
220,2450,3820,4460
220,2450,4289,4650
220,2450,4540,4700
220,2450,5079,4910
220,2450,6339,5190
220,2450,7202,5330
220,2450,7944,5490
220,2500,43,2270
220,2500,267,2480
220,2500,391,2640
220,2500,480,2740
220,2500,808,3120
220,2500,1160,3400
220,2500,1400,3500
220,2500,1520,3540
220,2500,1731,3670
220,2500,1970,3800
220,2500,2165,3920
220,2500,2400,4040
220,2500,2680,4040
220,2500,2740,4080
220,2500,2920,4080
220,2500,3200,4180
220,2500,3820,4380
220,2500,4580,4680
220,2500,5352,4900
220,2500,5695,4990
220,2500,6424,5210
220,2500,6637,5280
220,2500,7325,5400
220,2500,7950,5500
220,2550,28,2270
220,2550,200,2500
220,2550,428,2770
220,2550,760,3060
220,2550,952,3190
220,2550,1261,3390
220,2550,1540,3560
220,2550,1680,3600
220,2550,1860,3740
220,2550,2240,3980
220,2550,2380,4020
220,2550,2620,4060
220,2550,2851,4120
220,2550,3200,4200
220,2550,3820,4260
220,2550,4100,4400
220,2550,4565,4560
220,2550,5000,4860
220,2550,5536,4970
220,2550,6189,5170
220,2550,6616,5220
220,2550,7264,5310
220,2550,7944,5420
220,2600,17,2150
220,2600,207,2380
220,2600,443,2610
220,2600,787,3010
220,2600,1208,3420
220,2600,1360,3500
220,2600,1600,3620
220,2600,1876,3740
220,2600,2277,3920
220,2600,2420,3960
220,2600,2680,4000
220,2600,2820,4080
220,2600,3100,4200
220,2600,3260,4260
220,2600,3860,4340
220,2600,4120,4360
220,2600,4480,4480
220,2600,5040,4600
220,2600,5747,4940
220,2600,6680,5080
220,2600,7407,5260
220,2600,7932,5350
220,2700,17,2010
220,2700,180,2220
220,2700,468,2480
220,2700,759,2820
220,2700,1020,3200
220,2700,1252,3420
220,2700,1624,3640
220,2700,2040,3760
220,2700,2397,3920
220,2700,2780,3980
220,2700,2940,4060
220,2700,3160,4140
220,2700,3380,4120
220,2700,3620,4180
220,2700,3971,4270
220,2700,4383,4360
220,2700,4767,4450
220,2700,5620,4640
220,2700,5872,4740
220,2700,6821,5020
220,2700,7932,5270
220,2750,34,1910
220,2750,213,2060
220,2750,460,2320
220,2750,880,2860
220,2750,1314,3290
220,2750,1636,3470
220,2750,1820,3560
220,2750,1933,3630
220,2750,2460,3880
220,2750,2600,3940
220,2750,2840,4000
220,2750,2980,4040
220,2750,3160,4080
220,2750,3440,4260
220,2750,4087,4340
220,2750,4400,4340
220,2750,4720,4400
220,2750,5013,4510
220,2750,5311,4600
220,2750,6325,4870
220,2750,6960,5000
220,2750,7941,5230
220,2800,34,1750
220,2800,320,2030
220,2800,668,2400
220,2800,820,2620
220,2800,982,2830
220,2800,1199,3050
220,2800,1780,3500
220,2800,2514,3830
220,2800,2860,3970
220,2800,3031,4020
220,2800,4002,4340
220,2800,4380,4460
220,2800,4871,4540
220,2800,5947,4790
220,2800,7119,5030
220,2800,7950,5150
220,2900,43,1630
220,2900,242,1820
220,2900,536,2150
220,2900,782,2500
220,2900,1019,2810
220,2900,1280,3140
220,2900,1647,3320
220,2900,1904,3540
220,2900,2672,3880
220,2900,3122,4060
220,2900,3947,4300
220,2900,4380,4360
220,2900,5260,4700
220,2900,6769,5010
220,2900,7938,5240
220,2950,51,1580
220,2950,457,1960
220,2950,715,2290
220,2950,860,2540
220,2950,940,2650
220,2950,1102,2920
220,2950,1289,3020
220,2950,2028,3590
220,2950,2440,3780
220,2950,2740,4060
220,2950,3506,4210
220,2950,4094,4400
220,2950,4686,4600
220,2950,5592,4830
220,2950,6839,5090
220,2950,7932,5290
220,3000,57,1530
220,3000,285,1780
220,3000,500,2020
220,3000,671,2250
220,3000,828,2480
220,3000,951,2690
220,3000,1307,3100
220,3000,1509,3310
220,3000,2180,3740
220,3000,2760,4120
220,3000,3300,4260
220,3000,4236,4560
220,3000,5419,4840
220,3000,6784,5140
220,3000,7944,5360
250,800,69,1920
250,800,319,2290
250,800,591,2710
250,800,976,3199
250,800,1165,3460
250,800,1500,3700
250,800,1780,3820
250,800,2520,4120
250,800,3163,4420
250,800,3640,4520
250,800,4420,4720
250,800,5025,4890
250,800,5355,5010
250,800,6380,5380
250,800,7843,5780
250,800,7932,5780
250,850,60,1900
250,850,230,2140
250,850,398,2410
250,850,531,2600
250,850,740,2870
250,850,978,3150
250,850,1185,3450
250,850,1411,3650
250,850,1664,3840
250,850,2034,3960
250,850,2500,4120
250,850,2790,4300
250,850,3122,4470
250,850,4089,4690
250,850,4940,4920
250,850,5754,5250
250,850,6186,5370
250,850,6899,5580
250,850,7947,5820
250,900,60,1790
250,900,392,2320
250,900,900,3120
250,900,1140,3420
250,900,1240,3520
250,900,1402,3670
250,900,1811,3870
250,900,2380,4160
250,900,3070,4480
250,900,3600,4740
250,900,4100,4899
250,900,5102,5070
250,900,5895,5300
250,900,7094,5600
250,900,7950,5810
250,950,40,1770
250,950,240,2110
250,950,500,2540
250,950,744,3010
250,950,956,3300
250,950,1216,3610
250,950,1400,3780
250,950,1680,4060
250,950,2320,4260
250,950,2628,4330
250,950,3148,4540
250,950,4077,4810
250,950,4937,5090
250,950,5970,5380
250,950,6940,5590
250,950,7927,5810
250,1000,34,1790
250,1000,268,2120
250,1000,480,2600
250,1000,807,3170
250,1000,1023,3510
250,1000,1167,3670
250,1000,1296,3770
250,1000,1496,3910
250,1000,1846,4130
250,1000,2280,4300
250,1000,2709,4460
250,1000,3304,4670
250,1000,4040,4890
250,1000,4456,5020
250,1000,5009,5190
250,1000,6337,5510
250,1000,7214,5640
250,1000,7929,5740
250,1050,51,1800
250,1050,226,2150
250,1050,390,2610
250,1050,743,3210
250,1050,1046,3580
250,1050,1196,3780
250,1050,1580,4000
250,1050,1740,4020
250,1050,1900,4120
250,1050,2240,4320
250,1050,3096,4580
250,1050,3471,4740
250,1050,4048,4930
250,1050,5012,5270
250,1050,6922,5700
250,1050,7422,5800
250,1050,7927,5920
250,1100,46,1820
250,1100,239,2150
250,1100,388,2470
250,1100,634,2990
250,1100,856,3290
250,1100,940,3420
250,1100,1353,3880
250,1100,2157,4450
250,1100,2594,4540
250,1100,3237,4690
250,1100,3636,4780
250,1100,4139,4930
250,1100,4845,5200
250,1100,5950,5540
250,1100,6801,5820
250,1100,7932,6050
250,1150,77,1900
250,1150,204,2160
250,1150,424,2580
250,1150,614,2970
250,1150,943,3490
250,1150,1140,3780
250,1150,1507,4130
250,1150,1816,4380
250,1150,2111,4540
250,1150,2291,4610
250,1150,2580,4650
250,1150,3280,4760
250,1150,3582,4920
250,1150,3913,5090
250,1150,4523,5310
250,1150,5260,5580
250,1150,6313,5880
250,1150,6997,5960
250,1150,7941,6170
250,1250,69,1960
250,1250,274,2290
250,1250,423,2610
250,1250,743,3310
250,1250,1073,3770
250,1250,1512,4260
250,1250,1968,4610
250,1250,2472,4600
250,1250,2743,4530
250,1250,2934,4600
250,1250,3280,4660
250,1250,3480,4800
250,1250,3724,4950
250,1250,4157,5170
250,1250,4396,5300
250,1250,5295,5540
250,1250,6097,5820
250,1250,7320,6100
250,1250,7938,6180
250,1300,69,2010
250,1300,222,2250
250,1300,484,2790
250,1300,937,3500
250,1300,1183,3910
250,1300,1380,4100
250,1300,1891,4480
250,1300,2320,4640
250,1300,2530,4680
250,1300,2784,4670
250,1300,3220,4700
250,1300,3360,4740
250,1300,3773,4910
250,1300,4657,5140
250,1300,5200,5340
250,1300,5363,5410
250,1300,6541,5850
250,1300,7924,6110
250,1400,37,1920
250,1400,317,2420
250,1400,513,2770
250,1400,715,3070
250,1400,903,3350
250,1400,1260,3840
250,1400,1468,4170
250,1400,1720,4300
250,1400,2361,4370
250,1400,2640,4420
250,1400,2767,4460
250,1400,3599,4700
250,1400,4472,4930
250,1400,5374,5240
250,1400,6483,5430
250,1400,7650,5650
250,1450,75,2010
250,1450,285,2410
250,1450,438,2650
250,1450,877,3280
250,1450,1076,3490
250,1450,1515,3950
250,1450,1778,4160
250,1450,2060,4360
250,1450,2708,4660
250,1450,3527,4910
250,1450,3829,4910
250,1450,4469,5000
250,1450,5384,5140
250,1450,6501,5490
250,1450,7956,5710
250,1500,66,2040
250,1500,230,2330
250,1500,623,2960
250,1500,839,3270
250,1500,1185,3660
250,1500,1440,3900
250,1500,1727,4140
250,1500,2025,4280
250,1500,2219,4410
250,1500,2760,4660
250,1500,3134,4850
250,1500,3682,5050
250,1500,4640,5170
250,1500,5714,5370
250,1500,6839,5570
250,1500,7938,5780
250,1550,60,2040
250,1550,268,2400
250,1550,545,2800
250,1550,940,3300
250,1550,1185,3620
250,1550,1667,4040
250,1550,2467,4470
250,1550,3308,4860
250,1550,3722,4980
250,1550,4371,5170
250,1550,4998,5250
250,1550,6683,5580
250,1550,7944,5810
250,1650,37,2130
250,1650,320,2460
250,1650,600,2780
250,1650,909,3170
250,1650,1188,3440
250,1650,1601,3810
250,1650,1883,4010
250,1650,2280,4200
250,1650,3080,4620
250,1650,3640,4870
250,1650,4842,5290
250,1650,5722,5480
250,1650,6752,5650
250,1650,7941,5900
250,1700,31,2170
250,1700,326,2500
250,1700,608,2860
250,1700,1015,3270
250,1700,1292,3520
250,1700,1660,3820
250,1700,2031,4040
250,1700,2637,4310
250,1700,3202,4570
250,1700,3777,4850
250,1700,4380,5090
250,1700,4951,5260
250,1700,5843,5460
250,1700,7947,5920
250,1750,31,2180
250,1750,253,2480
250,1750,528,2790
250,1750,784,3080
250,1750,1174,3460
250,1750,1405,3620
250,1750,1743,3900
250,1750,2196,4140
250,1750,2874,4460
250,1750,3514,4780
250,1750,4169,5030
250,1750,4974,5280
250,1750,5751,5410
250,1750,6560,5620
250,1750,7295,5780
250,1750,7938,5920
250,1800,34,2250
250,1800,234,2520
250,1800,406,2710
250,1800,623,2940
250,1800,943,3300
250,1800,1560,3840
250,1800,2144,4280
250,1800,2434,4440
250,1800,2814,4520
250,1800,3822,4910
250,1800,4220,5020
250,1800,4922,5240
250,1800,5676,5410
250,1800,6362,5590
250,1800,7203,5750
250,1800,7945,5940
