line,trace,time,velocity,delta time,delta velocity
220,850,805,2766,-713,-1016
220,850,1615,3836,-1388,-1866
220,850,1964,3905,-1726,-1955
220,850,2592,4328,-2018,-1898
220,850,2870,4436,-2083,-1636
220,900,436,2502,-353,-732
220,900,2337,4205,-2023,-2095
220,950,424,2458,-295,-568
220,950,947,3280,-592,-940
220,950,1039,3396,-519,-796
220,950,2269,4218,-1467,-1088
220,1000,741,3149,-589,-1289
220,1000,818,3315,-523,-1125
220,1000,929,3506,-351,-776
220,1000,2218,4282,-1398,-1022
220,1000,2406,4533,-1459,-1023
220,1050,821,3250,-665,-1330
220,1050,1125,3713,-705,-1063
220,1050,1502,4097,-851,-967
220,1050,2166,4208,-1314,-789
220,1100,2208,4409,-2107,-2509
220,1150,446,2767,-340,-817
220,1150,1002,3735,-681,-1265
220,1150,2035,4437,-1523,-1707
220,1250,2079,4488,-1924,-2478
220,1250,2162,4496,-1709,-1916
220,1250,2450,4476,-1850,-1466
220,1250,2618,4471,-1830,-1061
220,1250,2710,4495,-1604,-645
220,1250,3739,4778,-2334,-658
220,1300,3302,4491,-3152,-2441
220,1350,666,2949,-550,-919
220,1350,783,3015,-455,-575
220,1350,2650,4225,-2190,-1525
220,1350,2997,4285,-2294,-1195
220,1350,3132,4306,-2133,-856
220,1400,2629,4238,-2503,-2318
220,1450,2115,4267,-1997,-2287
220,1450,3289,4114,-3049,-1854
220,1500,2441,4485,-2320,-2495
220,1500,2620,4556,-2407,-2356
220,1500,3029,4350,-2712,-1930
220,1600,1456,3890,-1362,-1780
220,1650,2831,4087,-2668,-1757
220,1700,451,2336,-403,-56
220,1700,646,2818,-478,-378
220,1800,1486,3787,-1464,-1417
220,1950,487,2802,-434,-562
220,1950,2740,4464,-2373,-1874
220,2050,483,2688,-455,-628
220,2050,759,3001,-539,-661
220,2050,976,3186,-616,-726
220,2050,2335,4104,-1833,-1464
220,2050,2636,4236,-1862,-1246
220,2050,2780,4304,-1864,-1044
220,2050,3111,4311,-1934,-691
220,2050,3483,4275,-1772,-265
220,2050,3990,4282,-1743,-82
220,2100,369,2459,-301,-569
220,2100,957,3152,-714,-1002
220,2100,1162,3347,-768,-897
220,2100,1294,3387,-574,-427
220,2100,1383,3480,-423,-220
220,2100,1496,3399,-329,81
220,2100,2280,4025,-855,-295
220,2100,2739,4178,-831,-248
220,2100,2915,4265,-634,-175
220,2100,3140,4371,-570,-201
220,2100,3811,4465,-1071,-305
220,2150,2104,3975,-2065,-2125
220,2150,2226,3985,-2067,-1975
220,2150,2491,4014,-2148,-1724
220,2150,2664,4094,-2174,-1524
220,2150,2820,4158,-1920,-1048
220,2150,2973,4120,-1892,-710
220,2150,3077,4229,-1737,-629
220,2150,3850,4527,-2249,-777
220,2250,633,3126,-592,-1136
220,2250,935,3406,-716,-1056
220,2250,1456,3547,-1091,-887
220,2250,1614,3607,-976,-487
220,2250,1726,3682,-778,-252
220,2250,2098,3885,-898,-285
