line,trace,time,velocity
220,850,805,2766
220,850,1615,3836
220,850,1964,3905
220,850,2592,4328
220,850,2870,4436
220,900,436,2502
220,900,2337,4205
220,950,424,2458
220,950,947,3280
220,950,1039,3396
220,950,2269,4218
220,1000,741,3149
220,1000,818,3315
220,1000,929,3506
220,1000,2218,4282
220,1000,2406,4533
220,1050,821,3250
220,1050,1125,3713
220,1050,1502,4097
220,1050,2166,4208
220,1100,2208,4409
220,1150,446,2767
220,1150,1002,3735
220,1150,2035,4437
220,1250,2079,4488
220,1250,2162,4496
220,1250,2450,4476
220,1250,2618,4471
220,1250,2710,4495
220,1250,3739,4778
220,1300,3302,4491
220,1350,666,2949
220,1350,783,3015
220,1350,2650,4225
220,1350,2997,4285
220,1350,3132,4306
220,1400,2629,4238
220,1450,2115,4267
220,1450,3289,4114
220,1500,2441,4485
220,1500,2620,4556
220,1500,3029,4350
220,1600,1456,3890
220,1650,2831,4087
220,1700,451,2336
220,1700,646,2818
220,1800,1486,3787
220,1950,487,2802
220,1950,2740,4464
220,2050,483,2688
220,2050,759,3001
220,2050,976,3186
220,2050,2335,4104
220,2050,2636,4236
220,2050,2780,4304
220,2050,3111,4311
220,2050,3483,4275
220,2050,3990,4282
220,2100,369,2459
220,2100,957,3152
220,2100,1162,3347
220,2100,1294,3387
220,2100,1383,3480
220,2100,1496,3399
220,2100,2280,4025
220,2100,2739,4178
220,2100,2915,4265
220,2100,3140,4371
220,2100,3811,4465
220,2150,2104,3975
220,2150,2226,3985
220,2150,2491,4014
220,2150,2664,4094
220,2150,2820,4158
220,2150,2973,4120
220,2150,3077,4229
220,2150,3850,4527
220,2250,633,3126
220,2250,935,3406
220,2250,1456,3547
220,2250,1614,3607
220,2250,1726,3682
220,2250,2098,3885
220,2250,2364,3937
220,2250,2583,3967
220,2250,2756,4112
220,2250,2918,4121
220,2250,3001,4136
220,2250,3181,4266
220,2250,3740,4375
220,2250,3866,4377
220,2300,1164,3492
220,2300,2081,3906
220,2300,2248,3912
220,2300,2357,3961
220,2300,2559,3971
220,2300,2725,4103
220,2300,2939,4163
220,2300,3743,4485
220,2300,3959,4517
220,2350,969,3405
220,2350,1188,3521
220,2350,1388,3529
220,2350,1896,3769
220,2350,2089,3853
220,2350,2244,3909
220,2350,2343,3969
220,2350,2551,4057
220,2350,2720,4152
220,2350,2880,4170
220,2350,3808,4532
220,2350,3961,4527
220,2400,682,3140
220,2400,1161,3475
220,2400,1416,3582
220,2400,1566,3631
220,2400,2126,3867
220,2400,2246,3910
220,2400,2353,3968
220,2400,2557,3974
220,2400,2711,4110
220,2400,2881,4137
220,2400,3153,4231
220,2400,3383,4286
220,2400,4503,4660
220,2500,1643,3651
220,2500,2188,3923
220,2500,2403,4036
220,2500,2542,3971
220,2500,2748,4077
220,2500,2913,4096
220,2500,3189,4171
220,2500,3822,4399
220,2550,724,3069
220,2550,1519,3516
220,2550,1678,3571
220,2550,1857,3727
220,2550,2232,3964
220,2550,2360,3989
220,2550,2629,4051
220,2550,2785,4087
220,2550,2927,4054
220,2550,3189,4182
220,2550,3807,4251
220,2600,457,2556
220,2600,778,3056
220,2600,1893,3681
220,2600,2268,3911
220,2600,2423,3965
220,2600,2664,4013
220,2600,2821,4044
220,2600,2977,4057
220,2600,3850,4342
220,2700,746,2749
220,2700,2381,3872
220,2700,2769,3981
220,2700,2918,4035
220,2700,3026,4017
220,2700,3159,4095
220,2700,3360,4099
220,2700,3599,4160
220,2700,3969,4156
220,2750,369,2074
220,2750,494,2276
220,2750,652,2422
220,2750,907,2901
220,2750,2093,3720
220,2750,2442,3879
220,2750,2834,3991
220,2750,4082,4307
220,2850,1199,3260
220,2850,1507,3504
220,2850,2019,3702
220,2850,2550,3786
220,2950,449,1941
220,2950,1002,2766
220,2950,1094,2885
250,800,1774,3731
250,800,2506,4105
250,850,980,3069
250,850,2463,4110
250,850,3667,4424
250,900,911,3142
250,900,1122,3421
250,900,1227,3513
250,900,2378,4171
250,900,2458,4224
250,950,494,2574
250,950,878,3307
250,950,1413,3756
250,950,2322,4248
250,1000,805,3129
250,1000,899,3217
250,1000,1486,3880
250,1000,1764,4006
250,1000,2281,4260
250,1000,3553,4529
250,1000,3886,4439
250,1050,1031,3562
250,1050,1579,3971
250,1050,2230,4286
250,1050,4075,4399
250,1100,369,2393
250,1100,662,3012
250,1100,939,3476
250,1100,2185,4218
250,1100,3627,4738
250,1150,908,3530
250,1150,1650,3899
250,1150,2103,4521
250,1150,4043,4407
250,1250,1950,4599
250,1250,2349,4753
250,1250,2727,4487
250,1250,2911,4612
250,1250,3260,4724
250,1250,3474,4797
250,1250,3710,4979
250,1350,2375,4421
250,1350,2691,4487
250,1350,2823,4470
250,1350,2917,4590
250,1400,1315,3836
250,1400,2630,4393
250,1400,3489,4793
250,1500,1566,3724
250,1500,3578,4406
250,1600,3052,4809
250,1650,2507,4078
250,1700,1830,3972
250,1750,1742,3957
250,1800,2435,4463
250,1900,2707,4558
250,1900,3777,4732
250,1950,3083,4737
250,2050,747,2891
250,2050,836,2947
250,2050,2653,4208
250,2050,2787,4345
250,2050,4620,4630
250,2100,310,2233
250,2100,449,2549
250,2100,2920,4330
250,2100,3101,4415
250,2200,525,2885
250,2200,756,3146
250,2200,1345,3537
250,2200,2138,3962
250,2200,2314,4022
250,2200,2445,3988
250,2200,2591,4047
250,2200,2750,4109
250,2200,2927,4155
250,2200,3233,4205
250,2200,3791,4417
250,2200,3936,4371
250,2250,1153,3569
