line,trace,time,velocity
2240,1440,93,1605
2240,1440,1002,2031
2240,1440,1199,2139
2240,1440,1333,2197
2240,1440,1515,2302
2240,1440,1713,2373
2240,1440,1840,2433
2240,1440,1997,2540
2240,1440,2137,2606
2240,1440,2437,2666
2240,1440,2598,2714
2240,1440,2851,2797
2240,1440,3043,2833
2240,1440,3138,2870
2240,1440,3295,2956
2240,1440,3454,3071
2240,1440,4318,3514
2240,1440,5081,4075
2240,1440,5457,4308
2240,1440,6961,4693
2240,1480,94,1601
2240,1480,292,1697
2240,1480,418,1766
2240,1480,514,1815
2240,1480,691,1906
2240,1480,838,1982
2240,1480,1036,2051
2240,1480,1146,2097
2240,1480,1297,2169
2240,1480,1359,2184
2240,1480,1458,2226
2240,1480,1677,2325
2240,1480,1935,2481
2240,1480,2116,2569
2240,1480,2279,2642
2240,1480,2454,2655
2240,1480,2597,2697
2240,1480,2755,2738
2240,1480,2898,2787
2240,1480,3036,2814
2240,1480,3136,2860
2240,1480,3298,2975
2240,1480,3777,3222
2240,1480,4137,3367
2240,1480,4295,3456
2240,1480,4525,3664
2240,1480,5075,4078
2240,1480,5139,4089
2240,1480,6960,4694
2240,1520,94,1600
2240,1520,283,1695
2240,1520,478,1795
2240,1520,656,1883
2240,1520,737,1926
2240,1520,894,1991
2240,1520,1055,2051
2240,1520,1281,2145
2240,1520,1496,2244
2240,1520,1536,2264
2240,1520,1717,2351
2240,1520,1834,2430
2240,1520,1940,2478
2240,1520,2127,2609
2240,1520,2353,2653
2240,1520,2460,2668
2240,1520,2616,2701
2240,1520,2919,2805
2240,1520,3057,2819
2240,1520,3218,2929
2240,1520,3477,3072
2240,1520,3775,3195
2240,1520,3955,3249
2240,1520,4295,3454
2240,1520,4631,3756
2240,1520,5075,4080
2240,1520,5437,4244
2240,1520,6960,4694
2240,1560,94,1600
2240,1560,293,1693
2240,1560,497,1794
2240,1560,695,1880
2240,1560,917,1992
2240,1560,1055,2056
2240,1560,1174,2115
2240,1560,1370,2199
2240,1560,1536,2266
2240,1560,1694,2341
2240,1560,1958,2483
2240,1560,2136,2591
2240,1560,2476,2676
2240,1560,2617,2711
2240,1560,2777,2745
2240,1560,3094,2848
2240,1560,3217,2943
2240,1560,3476,3064
2240,1560,3957,3264
2240,1560,4297,3481
2240,1560,4610,3716
2240,1560,5056,4057
2240,1560,5172,4122
2240,1560,5435,4242
2240,1560,6960,4693
2240,1600,94,1601
2240,1600,376,1726
2240,1600,525,1815
2240,1600,688,1893
2240,1600,876,1973
2240,1600,1054,2053
2240,1600,1161,2102
2240,1600,1340,2181
2240,1600,1568,2293
2240,1600,1698,2347
2240,1600,1838,2426
2240,1600,1977,2504
2240,1600,2137,2608
2240,1600,2476,2686
2240,1600,2615,2712
2240,1600,2779,2741
2240,1600,3058,2839
2240,1600,3219,2934
2240,1600,3458,3064
2240,1600,3942,3263
2240,1600,4241,3418
2240,1600,5045,3968
2240,1600,5397,4193
2240,1600,6960,4694
2240,1680,94,1600
2240,1680,287,1698
2240,1680,473,1786
2240,1680,644,1881
2240,1680,877,1978
2240,1680,1014,2034
2240,1680,1119,2083
2240,1680,1376,2200
2240,1680,1537,2271
2240,1680,1772,2385
