line,trace,time,velocity,delta time,delta velocity
2240,1440,93,1605,409,204
2240,1440,1002,2031,-322,-131
2240,1440,1199,2139,-359,-159
2240,1440,1333,2197,-326,-162
2240,1440,1515,2302,-175,-102
2240,1440,1713,2373,-193,-68
2240,1440,1840,2433,-133,-48
2240,1440,1997,2540,-148,-86
2240,1440,2137,2606,-147,-66
2240,1440,2437,2666,-297,-56
2240,1440,2598,2714,-158,-44
2240,1440,2851,2797,-251,-77
2240,1440,3043,2833,-283,-73
2240,1440,3138,2870,-298,-85
2240,1440,3295,2956,-219,-101
2240,1440,3454,3071,-154,-111
2240,1440,4318,3514,-858,-434
2240,1440,5081,4075,-941,-695
2240,1440,5457,4308,-1130,-784
2240,1440,6961,4693,-2161,-773
2240,1480,94,1601,408,208
2240,1480,292,1697,388,203
2240,1480,418,1766,422,214
2240,1480,514,1815,529,244
2240,1480,691,1906,669,274
2240,1480,838,1982,632,253
2240,1480,1036,2051,641,289
2240,1480,1146,2097,794,383
2240,1480,1297,2169,823,411
2240,1480,1359,2184,1093,475
2240,1480,1458,2226,1142,474
2240,1480,1677,2325,1072,415
2240,1480,1935,2481,1205,394
2240,1480,2116,2569,1184,411
2240,1480,2279,2642,1203,433
2240,1480,2454,2655,1326,585
2240,1480,2597,2697,1543,683
2240,1480,2755,2738,1525,722
2240,1480,2898,2787,1902,1133
2240,1480,3036,2814,2041,1286
2240,1480,3136,2860,2153,1350
2240,1480,3298,2975,2162,1345
2240,1480,3777,3222,2145,1232
2240,1480,4137,3367,2258,1197
2240,1480,4295,3456,2684,1243
2240,1480,4525,3664,2454,174
2240,1480,5075,4078,1904,-376
2240,1480,5139,4089,1840,-440
2240,1480,6960,4694,19,-2261
2240,1520,94,1600,386,200
2240,1520,283,1695,377,185
2240,1520,478,1795,267,125
2240,1520,656,1883,404,177
2240,1520,737,1926,423,174
2240,1520,894,1991,386,169
2240,1520,1055,2051,485,209
2240,1520,1281,2145,439,215
2240,1520,1496,2244,344,196
2240,1520,1536,2264,475,270
2240,1520,1717,2351,423,264
2240,1520,1834,2430,433,214
2240,1520,1940,2478,540,202
2240,1520,2127,2609,493,91
2240,1520,2353,2653,387,87
2240,1520,2460,2668,584,152
2240,1520,2616,2701,614,219
2240,1520,2919,2805,541,255
2240,1520,3057,2819,721,385
2240,1520,3218,2929,862,431
2240,1520,3477,3072,805,403
2240,1520,3775,3195,862,584
2240,1520,3955,3249,1105,851
2240,1520,4295,3454,1145,826
2240,1520,4631,3756,1262,688
2240,1520,5075,4080,1206,474
2240,1520,5437,4244,1423,436
2240,1520,6960,4694,11,5
2240,1560,94,1600,406,200
2240,1560,293,1693,387,227
2240,1560,497,1794,425,205
2240,1560,695,1880,365,180
2240,1560,917,1992,264,123
2240,1560,1055,2056,325,154
2240,1560,1174,2115,366,165
2240,1560,1370,2199,330,156
2240,1560,1536,2266,427,224
2240,1560,1694,2341,446,259
2240,1560,1958,2483,396,171
2240,1560,2136,2591,340,88
2240,1560,2476,2676,204,64
2240,1560,2617,2711,162,54
2240,1560,2777,2745,309,125
2240,1560,3094,2848,126,112
2240,1560,3217,2943,102,46
2240,1560,3476,3064,4,16
2240,1560,3957,3264,3,16
2240,1560,4297,3481,-157,-101
2240,1560,4610,3716,-310,-236
2240,1560,5056,4057,-416,-308
2240,1560,5172,4122,-117,-38
2240,1560,5435,4242,-295,-127
2240,1560,6960,4693,-1528,-413
2240,1600,94,1601,446,219
2240,1600,376,1726,324,174
2240,1600,525,1815,355,165
2240,1600,688,1893,369,156
2240,1600,876,1973,284,127
2240,1600,1054,2053,286,127
2240,1600,1161,2102,419,198
2240,1600,1340,2181,360,174
2240,1600,1568,2293,272,147
2240,1600,1698,2347,276,162
2240,1600,1838,2426,302,184
2240,1600,1977,2504,300,145
2240,1600,2137,2608,341,76
2240,1600,2476,2686,156,28
2240,1600,2615,2712,165,48
2240,1600,2779,2741,281,99
2240,1600,3058,2839,162,101
2240,1600,3219,2934,118,65
2240,1600,3458,3064,11,-5
2240,1600,3942,3263,-195,-103
2240,1600,4241,3418,-301,-138
2240,1600,5045,3968,-805,-548
2240,1600,5397,4193,-977,-653
2240,1600,6960,4694,-1916,-715
2240,1680,94,1600,366,180
2240,1680,287,1698,313,162
2240,1680,473,1786,407,194
2240,1680,644,1881,369,159
2240,1680,877,1978,503,222
2240,1680,1014,2034,526,246
2240,1680,1119,2083,661,297
2240,1680,1376,2200,605,304
2240,1680,1537,2271,623,349
2240,1680,1772,2385,569,274
2240,1680,1878,2450,637,245
2240,1680,1977,2502,709,238
2240,1680,2157,2608,654,166
2240,1680,2339,2651,721,189
2240,1680,2514,2689,726,271
2240,1680,2676,2730,804,350
2240,1680,2797,2760,1163,540
2240,1680,3059,2842,1201,618
2240,1680,3251,2963,1339,802
2240,1680,3478,3072,1542,1048
2240,1680,3975,3294,1185,886
2240,1680,4256,3451,1144,809
2240,1680,4580,3743,1237,637
2240,1680,5017,4085,1317,439
2240,1680,5137,4128,1836,566
2240,1680,5396,4250,1577,-702
2240,1680,6960,4692,13,-2266
2240,1760,94,1601,326,159
2240,1760,415,1753,285,147
2240,1760,552,1812,368,188
2240,1760,695,1891,485,204
2240,1760,918,1990,462,190
2240,1760,1065,2057,515,223
2240,1760,1177,2112,563,248
2240,1760,1359,2182,601,298
2240,1760,1589,2279,591,341
2240,1760,1737,2353,723,331
2240,1760,1837,2414,843,326
2240,1760,2176,2622,724,178
2240,1760,2358,2665,731,189
2240,1760,2456,2681,804,299
2240,1760,2718,2748,762,332
2240,1760,2897,2797,1043,463
2240,1760,3079,2852,1141,568
2240,1760,3256,2970,1284,750
2240,1760,3477,3072,1283,868
2240,1760,3936,3266,1064,854
2240,1760,4217,3419,1102,775
2240,1760,4537,3703,1292,646
2240,1760,4756,3930,1538,559
2240,1760,4993,4083,1970,616
2240,1760,5320,4178,1643,-621
2240,1760,6961,4694,2,-2262
2240,1800,94,1600,326,160
2240,1800,417,1749,203,111
2240,1800,617,1860,103,60
2240,1800,716,1902,184,98
2240,1800,882,1991,338,129
2240,1800,1199,2117,221,103
2240,1800,1416,2211,144,69
2240,1800,1559,2271,121,69
2240,1800,1676,2328,224,132
2240,1800,1915,2453,265,167
2240,1800,2000,2507,400,173
2240,1800,2194,2621,346,79
2240,1800,2397,2677,323,63
2240,1800,2537,2696,363,104
2240,1800,2722,2741,404,118
2240,1800,2897,2792,383,188
2240,1800,3130,2865,370,255
2240,1800,3275,2982,659,328
2240,1800,3498,3114,722,346
2240,1800,3917,3307,618,422
2240,1800,4217,3460,815,655
2240,1800,4976,4076,364,164
2240,1800,5037,4092,1115,362
2240,1800,5336,4217,1637,482
2240,1800,6960,4694,13,-2261
2240,1840,94,1600,426,200
2240,1840,294,1687,386,193
2240,1840,517,1800,278,129
2240,1840,675,1880,365,180
2240,1840,877,1977,343,143
2240,1840,1016,2041,364,159
2240,1840,1218,2116,382,184
2240,1840,1374,2197,421,198
2240,1840,1597,2299,443,241
2240,1840,1780,2381,420,259
2240,1840,1917,2465,429,214
2240,1840,2030,2530,590,170
2240,1840,2198,2632,558,127
2240,1840,2342,2689,578,131
2240,1840,2496,2723,635,161
2240,1840,2616,2714,664,266
2240,1840,2737,2753,763,367
2240,1840,2916,2815,804,405
2240,1840,3119,2864,781,396
2240,1840,3197,2893,1003,547
2240,1840,3278,2981,1262,759
2240,1840,3498,3118,1458,926
2240,1840,3718,3202,1362,878
2240,1840,3896,3265,1444,975
2240,1840,4196,3440,2144,1060
2240,1840,4956,4045,2015,649
2240,1840,5075,4078,1896,-381
2240,1840,5336,4246,1635,-642
2240,1840,6961,4694,10,-2267
2240,1880,94,1600,326,140
2240,1880,271,1678,409,202
2240,1880,398,1736,508,258
2240,1880,617,1862,403,198
2240,1880,837,1959,403,181
2240,1880,938,2008,442,192
2240,1880,1015,2050,545,250
2240,1880,1238,2139,502,221
2240,1880,1374,2203,515,236
2240,1880,1556,2285,484,255
2240,1880,1737,2355,463,285
2240,1880,1936,2474,604,226
2240,1880,2022,2520,878,280
2240,1880,2196,2631,991,268
2240,1880,2537,2695,763,305
2240,1880,2738,2756,742,324
2240,1880,2897,2801,783,379
2240,1880,3120,2861,1060,539
2240,1880,3196,2894,1304,806
2240,1880,3296,2987,1637,1022
2240,1880,3477,3076,1583,1004
2240,1880,3717,3199,1601,1030
2240,1880,3896,3274,1982,1111
2240,1880,4186,3411,2790,1283
2240,1880,4935,4016,2041,-241
2240,1880,5055,4065,1921,-361
2240,1880,5410,4260,1566,-716
