Line-Trace,Pred-TVs,Lable-TVs,Dffirence
2240_1440,20,26,-6
2240_1480,29,28,1
2240_1520,28,30,-2
2240_1560,25,30,-5
2240_1600,24,31,-7
2240_1680,27,27,0
2240_1760,26,26,0
2240_1800,25,27,-2
2240_1840,29,28,1
2240_1880,28,26,2
2240_1920,26,28,-2
2240_2000,26,26,0
2240_2080,28,25,3
2240_2120,29,27,2
2240_2160,23,32,-9
2240_2200,28,27,1
2240_2240,24,26,-2
2240_2280,25,28,-3
2240_2320,26,29,-3
2240_2360,26,26,0
2240_2400,23,26,-3
2240_2440,28,27,1
2280_1480,26,28,-2
2280_1520,27,27,0
2280_1600,27,25,2
2280_1640,25,24,1
2280_1680,27,27,0
2280_1720,27,26,1
2280_1760,28,26,2
2280_1800,26,26,0
2280_1840,27,25,2
2280_1960,28,26,2
2280_2000,31,26,5
2280_2040,30,27,3
2280_2080,27,26,1
2280_2120,26,29,-3
2280_2160,24,29,-5
2280_2200,25,28,-3
2280_2280,27,24,3
2280_2320,25,26,-1
2280_2400,29,25,4
2280_2440,26,25,1
2280_2480,27,29,-2
2320_1360,17,25,-8
2320_1440,21,26,-5
2320_1480,27,27,0
2320_1560,26,25,1
2320_1600,28,25,3
2320_1640,29,25,4
2320_1680,27,26,1
2320_1720,25,28,-3
2320_1800,27,29,-2
2320_1840,28,27,1
2320_1880,28,28,0
2320_1920,25,30,-5
2320_2000,27,30,-3
2320_2080,30,28,2
2320_2120,25,28,-3
2320_2160,23,27,-4
2320_2200,26,29,-3
2320_2280,24,28,-4
2320_2320,26,28,-2
2320_2360,24,27,-3
2320_2400,27,27,0
2320_2440,30,27,3
2320_2480,24,29,-5
2360_800,21,26,-5
2360_840,21,27,-6
2360_880,26,31,-5
2360_960,24,28,-4
2360_1000,26,27,-1
2360_1080,23,26,-3
2360_1120,23,26,-3
2360_1160,23,30,-7
2360_1200,27,27,0
2360_1280,23,25,-2
2360_1320,26,27,-1
2360_1400,24,26,-2
2360_1440,25,27,-2
2360_1520,29,28,1
2360_1560,25,27,-2
2360_1600,24,27,-3
2360_1640,27,27,0
2360_1680,26,28,-2
2360_1720,28,29,-1
2360_1800,30,28,2
2360_1840,27,27,0
2360_1880,27,28,-1
2360_1920,28,27,1
2360_1960,26,31,-5
2360_2000,26,30,-4
2360_2040,27,27,0
2360_2200,28,28,0
2360_2240,23,29,-6
2360_2280,26,25,1
2360_2320,25,27,-2
2360_2360,28,28,0
2360_2400,26,28,-2
2360_2440,28,28,0
2360_2480,29,28,1
2400_800,29,24,5
2400_840,27,27,0
2400_880,25,28,-3
2400_960,26,24,2
2400_1000,26,24,2
2400_1040,28,25,3
2400_1080,25,26,-1
2400_1160,24,24,0
2400_1200,27,29,-2
2400_1280,25,26,-1
2400_1320,29,26,3
2400_1360,28,27,1
2400_1440,25,26,-1
2400_1480,27,29,-2
2400_1520,25,25,0
2400_1560,30,28,2
2400_1600,27,26,1
2400_1640,23,27,-4
2400_1680,27,27,0
2400_1760,27,26,1
2400_1800,28,27,1
2400_1840,28,28,0
2400_1880,29,27,2
2400_1960,27,25,2
2400_2000,27,25,2
2400_2080,25,24,1
2400_2160,28,28,0
2400_2200,27,25,2
2400_2240,28,25,3
2400_2280,27,24,3
2400_2320,28,27,1
2400_2360,25,26,-1
2400_2400,25,26,-1
2400_2440,23,27,-4
2440_800,24,25,-1
2440_880,25,24,1
2440_920,30,24,6
2440_960,27,26,1
2440_1000,26,26,0
2440_1040,29,25,4
2440_1080,26,26,0
2440_1120,25,26,-1
2440_1160,26,24,2
2440_1200,27,23,4
2440_1240,26,23,3
2440_1360,30,24,6
2440_1400,24,24,0
2440_1440,25,23,2
2440_1480,26,26,0
2440_1560,26,26,0
2440_1600,28,25,3
2440_1640,29,26,3
2440_1680,27,26,1
2440_1720,27,25,2
2440_1800,25,25,0
2440_1840,27,23,4
2440_1920,27,25,2
2440_1960,24,26,-2
2440_2000,31,26,5
2440_2040,28,25,3
2440_2080,27,25,2
2440_2120,30,24,6
2440_2160,27,24,3
2440_2200,28,27,1
2440_2280,24,25,-1
2440_2320,27,25,2
2440_2360,29,26,3
2440_2400,27,26,1
2440_2480,27,22,5
2480_800,25,25,0
2480_840,26,25,1
2480_1080,27,25,2
2480_1120,27,25,2
2480_1160,28,24,4
2480_1200,26,27,-1
2480_1240,27,22,5
2480_1280,29,29,0
2480_1320,26,26,0
2480_1360,30,24,6
2480_1440,25,26,-1
2480_1480,29,29,0
2480_1520,24,28,-4
2480_1560,27,28,-1
2480_1640,27,27,0
2480_1680,29,27,2
2480_1720,31,27,4
2480_1760,28,24,4
2480_1800,28,26,2
2480_1880,29,27,2
2480_1920,30,24,6
2480_1960,26,27,-1
2480_2000,30,27,3
2480_2040,27,26,1
2480_2120,28,25,3
2480_2160,25,26,-1
2480_2240,25,23,2
2480_2280,28,23,5
2480_2320,27,24,3
2480_2360,28,23,5
2480_2400,31,23,8
2480_2480,27,25,2
2560_800,27,28,-1
2560_840,27,28,-1
2560_880,30,27,3
2560_960,27,25,2
2560_1440,27,28,-1
2560_1480,23,31,-8
2560_1520,26,27,-1
2560_1560,30,28,2
2560_1600,23,29,-6
2560_1640,28,30,-2
2560_1680,27,29,-2
2560_1760,25,27,-2
2560_1800,28,27,1
2560_1880,25,28,-3
2560_1960,29,30,-1
2560_2000,28,29,-1
2560_2040,26,27,-1
2560_2080,26,31,-5
2560_2120,29,32,-3
2560_2160,28,28,0
2560_2200,29,28,1
2560_2280,26,26,0
2560_2320,28,29,-1
2560_2360,26,28,-2
2560_2400,25,26,-1
2560_2480,24,27,-3
2600_800,26,28,-2
2600_840,24,28,-4
2600_880,28,28,0
2600_920,28,26,2
2600_960,26,25,1
2600_1040,27,27,0
2600_1080,24,25,-1
2600_1120,28,29,-1
2600_1160,25,27,-2
2600_1200,28,27,1
2600_1240,27,27,0
2600_1280,24,28,-4
2600_1320,27,27,0
2600_1360,26,26,0
2600_1440,28,27,1
2600_1480,27,28,-1
2600_1520,27,28,-1
2600_1560,28,27,1
2600_1640,24,27,-3
2600_1720,24,27,-3
2600_1760,25,26,-1
2600_1800,26,25,1
2600_1880,27,29,-2
2600_1920,27,28,-1
2600_1960,28,28,0
2600_2000,27,28,-1
2600_2080,28,29,-1
2600_2120,28,29,-1
2600_2160,23,28,-5
2600_2200,28,29,-1
2600_2240,28,27,1
2600_2280,26,28,-2
2600_2320,29,28,1
2600_2400,26,27,-1
2600_2440,25,28,-3
2600_2480,28,26,2
2640_800,21,24,-3
2640_880,27,26,1
2640_920,26,26,0
2640_960,28,26,2
2640_1080,24,27,-3
2640_1120,24,24,0
2640_1160,27,26,1
2640_1240,26,26,0
2640_1280,32,26,6
2640_1320,27,25,2
2640_1360,25,27,-2
2640_1400,27,29,-2
2640_1480,27,29,-2
2640_1520,26,27,-1
2640_1560,28,26,2
2640_1600,28,28,0
2640_1680,27,29,-2
2640_1720,28,27,1
2640_1800,28,29,-1
2640_1840,27,29,-2
2640_1880,27,27,0
2640_1920,29,28,1
2640_1960,27,28,-1
2640_2040,28,30,-2
2640_2080,29,28,1
2640_2120,26,27,-1
2640_2160,25,25,0
2640_2200,24,29,-5
2640_2280,24,25,-1
2640_2320,26,29,-3
2640_2360,25,24,1
2640_2400,25,25,0
2640_2480,26,27,-1
2680_800,27,24,3
2680_840,23,27,-4
2680_920,30,27,3
2680_960,29,28,1
2680_1000,27,29,-2
2680_1040,24,27,-3
2680_1120,28,28,0
2680_1160,26,29,-3
2680_1200,27,31,-4
2680_1280,27,28,-1
2680_1320,27,26,1
2680_1360,24,25,-1
2680_1440,24,25,-1
2680_1520,27,27,0
2680_1560,26,30,-4
2680_1600,26,28,-2
2680_1640,26,30,-4
2680_1680,25,28,-3
2680_1720,28,27,1
2680_1760,27,28,-1
2680_1800,26,31,-5
2680_1880,26,29,-3
2680_1920,26,27,-1
2680_1960,25,27,-2
2680_2000,26,30,-4
2680_2040,27,26,1
2680_2120,29,30,-1
2680_2160,26,29,-3
2680_2200,29,27,2
2680_2240,28,26,2
2680_2280,28,27,1
2680_2320,28,25,3
2680_2360,26,25,1
2680_2480,23,25,-2
2720_800,24,27,-3
2720_840,25,29,-4
2720_920,29,28,1
2720_960,24,27,-3
2720_1000,24,25,-1
2720_1040,27,29,-2
2720_1080,29,26,3
2720_1120,30,30,0
2720_1160,27,26,1
2720_1200,28,25,3
2720_1280,27,26,1
2720_1320,31,31,0
2720_1360,29,31,-2
2720_1480,26,26,0
2720_1520,25,29,-4
2720_1560,24,29,-5
2720_1600,27,28,-1
2720_1640,24,29,-5
2720_1680,28,29,-1
2720_1760,27,27,0
2720_1800,26,28,-2
2720_1880,26,28,-2
2720_1920,26,28,-2
2720_1960,25,31,-6
2720_2000,24,29,-5
2720_2040,25,26,-1
2720_2080,28,27,1
2720_2120,26,28,-2
2720_2160,24,26,-2
2720_2200,27,26,1
2720_2280,27,25,2
2720_2320,27,29,-2
2720_2360,31,28,3
2720_2400,28,27,1
2720_2480,27,25,2
2760_800,22,24,-2
2760_840,28,22,6
2760_880,27,24,3
2760_920,25,23,2
2760_960,30,25,5
2760_1000,27,24,3
2760_1040,26,26,0
2760_1080,26,25,1
2760_1160,25,25,0
2760_1200,28,23,5
2760_1240,30,23,7
2760_1320,27,24,3
2760_1360,28,26,2
2760_1400,25,24,1
2760_1440,27,23,4
2760_1480,24,24,0
2760_1560,23,26,-3
2760_1600,24,24,0
2760_1680,23,23,0
2760_1720,28,25,3
2760_1760,24,24,0
2760_1840,23,25,-2
2760_1880,27,24,3
2760_1920,27,22,5
2760_1960,27,24,3
2760_2000,25,24,1
2760_2040,28,24,4
2760_2080,25,24,1
2760_2120,27,23,4
2760_2160,25,24,1
2760_2280,27,25,2
2760_2320,28,23,5
2760_2400,25,22,3
2760_2440,25,24,1
2800_840,24,22,2
2800_960,26,25,1
2800_1000,26,23,3
2800_1040,26,23,3
2800_1080,24,24,0
2800_1160,27,23,4
2800_1200,27,24,3
2800_1240,28,24,4
2800_1280,25,25,0
2800_1360,28,23,5
2800_1400,26,26,0
2800_1440,27,22,5
2800_1520,29,23,6
2800_1560,22,23,-1
2800_1600,25,24,1
2800_1640,25,25,0
2800_1680,29,23,6
2800_1720,24,20,4
2800_1760,26,24,2
2800_1880,28,23,5
2800_1920,26,21,5
2800_1960,27,25,2
2800_2000,27,26,1
2800_2040,27,24,3
2800_2080,23,23,0
2800_2120,23,23,0
2800_2160,29,25,4
2800_2240,26,23,3
2800_2280,28,26,2
2800_2320,27,27,0
2800_2360,25,26,-1
2800_2400,26,25,1
2800_2440,24,25,-1
2800_2480,26,25,1
2840_800,22,26,-4
2840_880,24,27,-3
2840_920,22,25,-3
2840_960,27,25,2
2840_1000,30,26,4
2840_1040,29,26,3
2840_1080,26,25,1
2840_1120,28,25,3
2840_1160,25,25,0
2840_1240,28,28,0
2840_1280,26,28,-2
2840_1320,29,26,3
2840_1360,25,29,-4
2840_1400,27,27,0
2840_1440,28,27,1
2840_1520,30,28,2
2840_1560,26,27,-1
2840_1600,24,28,-4
2840_1680,25,26,-1
2840_1720,28,29,-1
2840_1760,26,29,-3
2840_1800,25,28,-3
2840_1840,27,28,-1
2840_1920,27,26,1
2840_1960,26,29,-3
2840_2040,28,27,1
2840_2080,27,28,-1
2840_2120,28,27,1
2840_2200,30,31,-1
2840_2280,28,30,-2
2840_2320,25,30,-5
2840_2360,27,25,2
2840_2400,23,26,-3
2840_2440,25,26,-1
2840_2480,25,28,-3
2880_840,27,26,1
2880_880,25,26,-1
2880_920,27,28,-1
2880_960,26,25,1
2880_1000,28,27,1
2880_1040,24,25,-1
2880_1080,28,25,3
2880_1160,26,26,0
2880_1200,29,28,1
2880_1280,30,27,3
2880_1320,25,31,-6
2880_1360,28,26,2
