#line  trace  time  velocity  
              2240               1440                 97               1609 
              2240               1440                240               1675 
              2240               1440                362               1739 
              2240               1440                502               1809 
              2240               1440                680               1900 
              2240               1440                840               1980 
              2240               1440               1007               2035 
              2240               1440               1340               2200 
              2240               1440               1520               2305 
              2240               1440               1707               2385 
              2240               1440               1849               2454 
              2240               1440               1990               2540 
              2240               1440               2140               2610 
              2240               1440               2440               2670 
              2240               1440               2600               2720 
              2240               1440               2760               2760 
              2240               1440               2840               2785 
              2240               1440               3076               2855 
              2240               1440               3300               2960 
              2240               1440               3460               3080 
              2240               1440               4140               3380 
              2240               1440               4327               3524 
              2240               1440               4800               3920 
              2240               1440               5100               4180 
              2240               1440               5460               4340 
              2240               1440               6298               4649 
              2240               1440               6979               4699 
              2240               1480                 97               1609 
              2240               1480                240               1675 
              2240               1480                362               1739 
              2240               1480                502               1809 
              2240               1480                680               1900 
              2240               1480                840               1980 
              2240               1480               1043               2059 
              2240               1480               1360               2180 
              2240               1480               1470               2235 
              2240               1480               1677               2340 
              2240               1480               1940               2480 
              2240               1480               2120               2580 
              2240               1480               2452               2659 
              2240               1480               2600               2700 
              2240               1480               2749               2740 
              2240               1480               3140               2875 
              2240               1480               3300               2980 
              2240               1480               3482               3075 
              2240               1480               3780               3240 
              2240               1480               4140               3380 
              2240               1480               4280               3460 
              2240               1480               4800               3920 
              2240               1480               5077               4100 
              2240               1480               5289               4210 
              2240               1480               5460               4320 
              2240               1480               5922               4454 
              2240               1480               6395               4564 
              2240               1480               6979               4699 
              2240               1520                 95               1604 
              2240               1520                293               1714 
              2240               1520                480               1800 
              2240               1520                660               1880 
              2240               1520                745               1920 
              2240               1520               1060               2060 
              2240               1520               1160               2100 
              2240               1520               1280               2160 
              2240               1520               1540               2260 
              2240               1520               1720               2360 
              2240               1520               1840               2440 
              2240               1520               2011               2534 
              2240               1520               2140               2615 
              2240               1520               2267               2644 
              2240               1520               2480               2680 
              2240               1520               2620               2700 
              2240               1520               2740               2740 
              2240               1520               3044               2820 
              2240               1520               3230               2920 
              2240               1520               3460               3060 
              2240               1520               3778               3204 
              2240               1520               4080               3360 
              2240               1520               4282               3475 
              2240               1520               4637               3779 
              2240               1520               5060               4100 
              2240               1520               5440               4280 
              2240               1520               5893               4444 
              2240               1520               6281               4554 
              2240               1520               6860               4680 
              2240               1520               6971               4699 
              2240               1560                100               1614 
              2240               1560                285               1704 
              2240               1560                500               1800 
              2240               1560                680               1920 
              2240               1560                922               1999 
              2240               1560               1060               2060 
              2240               1560               1181               2115 
              2240               1560               1380               2210 
              2240               1560               1540               2280 
              2240               1560               1700               2355 
              2240               1560               1963               2490 
              2240               1560               2140               2600 
              2240               1560               2354               2654 
              2240               1560               2476               2679 
              2240               1560               2680               2740 
              2240               1560               2779               2765 
              2240               1560               3086               2870 
              2240               1560               3220               2960 
              2240               1560               3319               2989 
              2240               1560               3480               3080 
              2240               1560               3960               3280 
              2240               1560               4140               3380 
              2240               1560               4300               3480 
              2240               1560               4640               3749 
              2240               1560               5055               4084 
              2240               1560               5140               4115 
