line,trace,time,velocity
2240,1440,305,1711
2240,1440,518,1789
2240,1440,771,1918
2240,1440,837,1947
2240,1440,1004,2021
2240,1440,1105,2097
2240,1440,1197,2139
2240,1440,1328,2200
2240,1440,1453,2269
2240,1440,1515,2301
2240,1440,1714,2371
2240,1440,1849,2436
2240,1440,1957,2524
2240,1440,1995,2540
2240,1440,2138,2605
2240,1440,2437,2665
2240,1440,2599,2712
2240,1440,2756,2756
2240,1440,2851,2795
2240,1440,3067,2840
2240,1440,3138,2873
2240,1440,3294,2959
2240,1440,3457,3071
2240,1440,3780,3227
2240,1440,3856,3238
2240,1440,4318,3507
2240,1440,4695,3779
2240,1440,4868,3906
2240,1440,5088,4083
2240,1440,5296,4183
2240,1440,5457,4312
2240,1440,6961,4694
2240,1480,50,1574
2240,1480,94,1600
2240,1480,295,1699
2240,1480,425,1771
2240,1480,512,1816
2240,1480,578,1857
2240,1480,689,1903
2240,1480,837,1979
2240,1480,891,1994
2240,1480,938,2014
2240,1480,1037,2052
2240,1480,1150,2099
2240,1480,1197,2116
2240,1480,1298,2169
2240,1480,1356,2186
2240,1480,1458,2226
2240,1480,1554,2266
2240,1480,1678,2324
2240,1480,1776,2386
2240,1480,1874,2444
2240,1480,1936,2478
2240,1480,2116,2568
2240,1480,2278,2641
2240,1480,2452,2655
2240,1480,2555,2690
2240,1480,2597,2698
2240,1480,2755,2739
2240,1480,2842,2775
2240,1480,2899,2789
2240,1480,3037,2816
2240,1480,3137,2862
2240,1480,3235,2950
2240,1480,3298,2974
2240,1480,3438,3004
2240,1480,3537,3107
2240,1480,3777,3222
2240,1480,4137,3362
2240,1480,4297,3455
2240,1480,5073,4076
2240,1480,5137,4089
2240,1480,5296,4160
2240,1480,5449,4256
2240,1480,5910,4453
2240,1480,6961,4693
2240,1520,50,1573
2240,1520,94,1600
2240,1520,287,1698
2240,1520,402,1741
2240,1520,478,1797
2240,1520,557,1831
2240,1520,658,1882
2240,1520,737,1926
2240,1520,837,1977
2240,1520,896,1990
2240,1520,1056,2051
2240,1520,1157,2097
2240,1520,1282,2144
2240,1520,1495,2242
2240,1520,1536,2264
2240,1520,1718,2351
2240,1520,1836,2431
2240,1520,1897,2461
2240,1520,1938,2478
2240,1520,2014,2518
2240,1520,2128,2609
2240,1520,2354,2654
2240,1520,2460,2666
2240,1520,2616,2699
2240,1520,2766,2734
2240,1520,2839,2767
2240,1520,2919,2807
2240,1520,3055,2818
2240,1520,3218,2929
2240,1520,3477,3073
2240,1520,3775,3199
2240,1520,3875,3230
2240,1520,3955,3251
2240,1520,4294,3454
2240,1520,4630,3753
2240,1520,5074,4087
2240,1520,5137,4136
2240,1520,5437,4257
2240,1520,5792,4378
2240,1520,6900,4727
2240,1520,6961,4693
2240,1560,50,1573
2240,1560,94,1600
2240,1560,296,1696
2240,1560,329,1712
2240,1560,368,1730
2240,1560,498,1796
2240,1560,577,1844
2240,1560,636,1873
2240,1560,696,1883
2240,1560,799,1954
2240,1560,853,1966
2240,1560,917,1991
2240,1560,1020,2049
2240,1560,1056,2056
2240,1560,1174,2114
2240,1560,1372,2199
2240,1560,1536,2266
2240,1560,1693,2341
2240,1560,1741,2370
2240,1560,1818,2412
2240,1560,1898,2455
2240,1560,1956,2482
2240,1560,2136,2592
2240,1560,2351,2655
2240,1560,2476,2674
2240,1560,2616,2710
2240,1560,2675,2728
2240,1560,2776,2744
2240,1560,3094,2848
2240,1560,3216,2945
2240,1560,3317,2967
2240,1560,3476,3065
2240,1560,3956,3262
2240,1560,4297,3478
2240,1560,4624,3735
2240,1560,5055,4059
2240,1560,5175,4121
2240,1560,5436,4247
2240,1560,5717,4369
2240,1560,6905,4720
2240,1560,6960,4694
2240,1600,50,1573
2240,1600,94,1600
2240,1600,287,1690
2240,1600,375,1729
2240,1600,518,1815
2240,1600,689,1893
2240,1600,877,1973
2240,1600,1053,2053
2240,1600,1164,2102
2240,1600,1340,2182
2240,1600,1468,2244
2240,1600,1576,2292
2240,1600,1697,2347
2240,1600,1757,2379
2240,1600,1837,2425
2240,1600,1976,2505
2240,1600,2137,2608
2240,1600,2277,2642
2240,1600,2327,2659
2240,1600,2475,2683
2240,1600,2554,2692
2240,1600,2615,2712
2240,1600,2676,2725
2240,1600,2780,2740
2240,1600,3057,2840
2240,1600,3219,2933
2240,1600,3328,2980
2240,1600,3459,3064
2240,1600,3556,3118
2240,1600,3946,3254
2240,1600,4245,3413
2240,1600,5045,3970
2240,1600,5398,4183
2240,1600,6902,4749
2240,1680,50,1573
2240,1680,94,1600
2240,1680,291,1701
2240,1680,472,1785
2240,1680,598,1850
2240,1680,646,1881
2240,1680,759,1938
2240,1680,876,1976
2240,1680,1013,2032
2240,1680,1119,2084
2240,1680,1251,2139
2240,1680,1377,2199
2240,1680,1537,2270
2240,1680,1597,2287
2240,1680,1706,2348
2240,1680,1773,2385
2240,1680,1877,2448
2240,1680,1976,2505
2240,1680,2019,2527
2240,1680,2157,2609
2240,1680,2338,2650
2240,1680,2461,2680
2240,1680,2512,2688
2240,1680,2675,2729
2240,1680,2797,2758
2240,1680,3058,2841
2240,1680,3253,2962
2240,1680,3340,2997
2240,1680,3478,3075
2240,1680,3973,3294
2240,1680,4257,3451
2240,1680,4581,3741
2240,1680,5017,4090
2240,1680,5137,4133
2240,1680,5396,4252
2240,1680,6961,4694
2240,1760,50,1573
2240,1760,94,1600
2240,1760,287,1686
2240,1760,413,1758
2240,1760,555,1814
2240,1760,637,1857
2240,1760,696,1893
2240,1760,778,1936
2240,1760,918,1989
2240,1760,1067,2055
2240,1760,1177,2110
2240,1760,1220,2122
2240,1760,1359,2182
2240,1760,1478,2234
2240,1760,1595,2284
2240,1760,1737,2354
2240,1760,1837,2412
2240,1760,1915,2445
2240,1760,1956,2482
2240,1760,2016,2547
2240,1760,2175,2623
2240,1760,2358,2665
2240,1760,2456,2681
2240,1760,2518,2687
2240,1760,2597,2697
2240,1760,2676,2730
2240,1760,2716,2746
2240,1760,2898,2796
2240,1760,3079,2854
2240,1760,3257,2971
2240,1760,3477,3071
2240,1760,3558,3134
2240,1760,3936,3264
2240,1760,4218,3419
2240,1760,4540,3700
2240,1760,4756,3924
2240,1760,4994,4083
2240,1760,5055,4123
2240,1760,5320,4179
2240,1760,5497,4263
2240,1760,6554,4565
2240,1760,6961,4693
2240,1800,50,1573
2240,1800,94,1600
2240,1800,284,1692
2240,1800,350,1715
2240,1800,417,1751
2240,1800,513,1804
2240,1800,617,1859
2240,1800,716,1901
2240,1800,882,1992
2240,1800,1016,2044
2240,1800,1097,2071
2240,1800,1209,2117
2240,1800,1416,2211
2240,1800,1556,2270
2240,1800,1675,2327
2240,1800,1795,2389
2240,1800,1915,2453
2240,1800,1999,2508
2240,1800,2195,2619
2240,1800,2397,2676
2240,1800,2536,2695
2240,1800,2656,2722
2240,1800,2723,2740
2240,1800,2819,2769
2240,1800,2897,2791
2240,1800,3016,2814
2240,1800,3127,2865
2240,1800,3197,2896
2240,1800,3275,2981
2240,1800,3497,3114
2240,1800,3918,3307
2240,1800,4217,3461
2240,1800,4533,3713
2240,1800,4736,3871
2240,1800,4976,4078
2240,1800,5036,4105
2240,1800,5337,4218
2240,1800,5625,4299
2240,1800,6961,4694
