line,trace,time,velocity
2240,1440,1004,2021
2240,1440,1328,2200
2240,1440,1515,2301
2240,1440,1714,2371
2240,1440,1849,2436
2240,1440,1957,2524
2240,1440,1995,2540
2240,1440,2138,2605
2240,1440,2437,2665
2240,1440,2599,2712
2240,1440,2756,2756
2240,1440,2851,2795
2240,1440,3067,2840
2240,1440,3138,2873
2240,1440,3294,2959
2240,1440,3457,3071
2240,1440,3856,3238
2240,1440,4318,3507
2240,1440,5088,4083
2240,1440,5457,4312
2240,1440,6961,4694
2240,1480,94,1600
2240,1480,295,1699
2240,1480,425,1771
2240,1480,689,1903
2240,1480,837,1979
2240,1480,1037,2052
2240,1480,1150,2099
2240,1480,1298,2169
2240,1480,1356,2186
2240,1480,1458,2226
2240,1480,1678,2324
2240,1480,1936,2478
2240,1480,2116,2568
2240,1480,2278,2641
2240,1480,2452,2655
2240,1480,2597,2698
2240,1480,2755,2739
2240,1480,2899,2789
2240,1480,3037,2816
2240,1480,3137,2862
2240,1480,3298,2974
2240,1480,3777,3222
2240,1480,4297,3455
2240,1480,5073,4076
2240,1480,5449,4256
2240,1480,6961,4693
2240,1520,94,1600
2240,1520,287,1698
2240,1520,478,1797
2240,1520,658,1882
2240,1520,737,1926
2240,1520,896,1990
2240,1520,1056,2051
2240,1520,1157,2097
2240,1520,1282,2144
2240,1520,1495,2242
2240,1520,1536,2264
2240,1520,1718,2351
2240,1520,1836,2431
2240,1520,1938,2478
2240,1520,2128,2609
2240,1520,2354,2654
2240,1520,2460,2666
2240,1520,2616,2699
2240,1520,2766,2734
2240,1520,2839,2767
2240,1520,2919,2807
2240,1520,3055,2818
2240,1520,3218,2929
2240,1520,3477,3073
2240,1520,3775,3199
2240,1520,4294,3454
2240,1520,4630,3753
2240,1520,5074,4087
2240,1520,5437,4257
2240,1520,5792,4378
2240,1520,6961,4693
2240,1560,94,1600
2240,1560,296,1696
2240,1560,498,1796
2240,1560,696,1883
2240,1560,917,1991
2240,1560,1056,2056
2240,1560,1174,2114
2240,1560,1372,2199
2240,1560,1536,2266
2240,1560,1693,2341
2240,1560,1956,2482
2240,1560,2136,2592
2240,1560,2476,2674
2240,1560,2616,2710
2240,1560,2776,2744
2240,1560,3094,2848
2240,1560,3216,2945
2240,1560,3317,2967
2240,1560,3476,3065
2240,1560,3956,3262
2240,1560,4297,3478
2240,1560,5055,4059
2240,1560,5175,4121
2240,1560,5436,4247
2240,1560,6960,4694
2240,1600,94,1600
2240,1600,375,1729
2240,1600,518,1815
2240,1600,689,1893
2240,1600,877,1973
2240,1600,1053,2053
2240,1600,1164,2102
2240,1600,1340,2182
2240,1600,1576,2292
2240,1600,1697,2347
2240,1600,1837,2425
2240,1600,1976,2505
2240,1600,2137,2608
2240,1600,2277,2642
2240,1600,2475,2683
2240,1600,2615,2712
2240,1600,2780,2740
2240,1600,3057,2840
2240,1600,3219,2933
2240,1600,3459,3064
2240,1600,3946,3254
2240,1600,4245,3413
2240,1600,5045,3970
2240,1600,5398,4183
2240,1680,94,1600
2240,1680,291,1701
2240,1680,472,1785
2240,1680,646,1881
2240,1680,876,1976
2240,1680,1013,2032
2240,1680,1119,2084
2240,1680,1377,2199
2240,1680,1537,2270
2240,1680,1773,2385
2240,1680,1877,2448
2240,1680,1976,2505
2240,1680,2157,2609
2240,1680,2338,2650
2240,1680,2512,2688
2240,1680,2675,2729
2240,1680,2797,2758
2240,1680,3058,2841
2240,1680,3253,2962
2240,1680,3478,3075
2240,1680,3973,3294
2240,1680,4257,3451
2240,1680,4581,3741
2240,1680,5017,4090
2240,1680,5137,4133
2240,1680,5396,4252
2240,1680,6961,4694
2240,1760,94,1600
2240,1760,287,1686
2240,1760,413,1758
2240,1760,555,1814
2240,1760,696,1893
2240,1760,778,1936
2240,1760,918,1989
2240,1760,1067,2055
2240,1760,1177,2110
2240,1760,1359,2182
2240,1760,1595,2284
2240,1760,1737,2354
2240,1760,1837,2412
2240,1760,2016,2547
2240,1760,2175,2623
2240,1760,2358,2665
2240,1760,2456,2681
2240,1760,2597,2697
2240,1760,2716,2746
2240,1760,2898,2796
2240,1760,3079,2854
2240,1760,3257,2971
2240,1760,3477,3071
2240,1760,3936,3264
2240,1760,4218,3419
2240,1760,4540,3700
2240,1760,4756,3924
2240,1760,4994,4083
2240,1760,5320,4179
2240,1760,5497,4263
2240,1760,6961,4693
2240,1800,94,1600
2240,1800,350,1715
2240,1800,417,1751
2240,1800,617,1859
2240,1800,716,1901
2240,1800,882,1992
2240,1800,1209,2117
2240,1800,1416,2211
2240,1800,1556,2270
2240,1800,1675,2327
2240,1800,1795,2389
2240,1800,1915,2453
2240,1800,1999,2508
2240,1800,2195,2619
2240,1800,2397,2676
2240,1800,2536,2695
2240,1800,2723,2740
2240,1800,2897,2791
2240,1800,3127,2865
2240,1800,3275,2981
2240,1800,3497,3114
2240,1800,3918,3307
2240,1800,4217,3461
2240,1800,4976,4078
2240,1800,5036,4105
2240,1800,5337,4218
2240,1800,6961,4694
2240,1840,94,1600
2240,1840,299,1691
2240,1840,517,1802
2240,1840,674,1880
2240,1840,779,1928
2240,1840,877,1974
2240,1840,1016,2038
2240,1840,1217,2117
2240,1840,1374,2194
2240,1840,1597,2298
2240,1840,1781,2380
2240,1840,1917,2464
2240,1840,2032,2528
2240,1840,2198,2633
2240,1840,2496,2724
2240,1840,2616,2716
2240,1840,2737,2751
2240,1840,2917,2814
2240,1840,3120,2864
2240,1840,3196,2893
2240,1840,3278,2981
2240,1840,3498,3117
2240,1840,3718,3205
2240,1840,3897,3263
2240,1840,4198,3442
2240,1840,4954,4055
2240,1840,5079,4086
2240,1840,5338,4239
2240,1840,6961,4694
2240,1880,94,1600
2240,1880,396,1738
2240,1880,619,1864
2240,1880,834,1957
2240,1880,937,2008
2240,1880,1015,2048
2240,1880,1238,2139
2240,1880,1370,2203
2240,1880,1557,2283
2240,1880,1737,2355
2240,1880,1938,2474
2240,1880,2021,2520
2240,1880,2197,2631
2240,1880,2538,2697
2240,1880,2737,2755
2240,1880,2897,2800
2240,1880,3119,2863
2240,1880,3196,2895
2240,1880,3296,2987
2240,1880,3477,3074
2240,1880,3716,3192
2240,1880,3896,3273
2240,1880,4193,3422
2240,1880,4505,3641
2240,1880,4756,3855
2240,1880,4936,4019
2240,1880,5056,4072
2240,1880,5412,4257
2240,1880,6961,4694
2240,1920,94,1600
2240,1920,312,1692
2240,1920,476,1776
2240,1920,696,1885
2240,1920,858,1969
2240,1920,996,2033
2240,1920,1159,2095
2240,1920,1373,2190
2240,1920,1534,2265
2240,1920,1597,2290
2240,1920,1749,2363
2240,1920,1979,2493
2240,1920,2197,2650
2240,1920,2535,2711
2240,1920,2752,2759
2240,1920,2857,2797
2240,1920,3114,2862
2240,1920,3295,2977
2240,1920,3498,3101
2240,1920,3678,3209
2240,1920,4178,3446
2240,1920,4498,3732
2240,1920,4932,4049
2240,1920,5036,4091
2240,1920,5296,4243
2240,1920,6961,4694
2240,2000,94,1600
2240,2000,517,1779
2240,2000,698,1884
2240,2000,876,1969
2240,2000,1178,2096
2240,2000,1401,2206
2240,2000,1577,2293
2240,2000,1697,2339
2240,2000,1877,2446
2240,2000,2078,2561
2240,2000,2216,2675
2240,2000,2497,2725
2240,2000,2556,2725
2240,2000,2703,2770
2240,2000,2878,2827
2240,2000,3136,2894
2240,2000,3289,3005
2240,2000,3496,3123
2240,2000,3696,3227
2240,2000,4150,3446
2240,2000,4459,3684
2240,2000,4897,4038
2240,2000,5258,4241
